participant_id,type,display_name,country_id
biathlon_world_team_Russia_Olga_Pyleva__Svetlana_Ishmouratova__Ivan_Tcherezov__Nikolay_Kruglov_Jr_RUS,team,Russia,RUS
biathlon_world_team_Russia_Anna_Bogaliy-Titovets__Olga_Zaitseva__Sergei_Tchepikov__Sergei_Rozhkov_RUS,team,Russia,RUS
biathlon_world_team_Germany_Uschi_Disl__Kati_Wilhelm__Michael_Greis__Ricco_Groß_GER,team,Germany,GER
biathlon_world_athlete_Andrea_Henkel_GER,athlete,Andrea Henkel,GER
biathlon_world_athlete_Sun_Ribo_CHN,athlete,Sun Ribo,CHN
biathlon_world_athlete_Linda_Tjørhom_NOR,athlete,Linda Tjørhom,NOR
biathlon_world_athlete_Gro_Marit_Istad_Kristiansen_NOR,athlete,Gro Marit Istad Kristiansen,NOR
biathlon_world_athlete_Anna_Carin_Olofsson_SWE,athlete,Anna Carin Olofsson,SWE
biathlon_world_athlete_Liu_Xianying_CHN,athlete,Liu Xianying,CHN
biathlon_world_athlete_Olga_Zaitseva_RUS,athlete,Olga Zaitseva,RUS
biathlon_world_team_Russia_Olga_Pyleva__Svetlana_Ishmouratova__Anna_Bogaliy-Titovets__Olga_Zaitseva_RUS,team,Russia,RUS
biathlon_world_team_Belarus_Ekaterina_Ivanova__Olga_Nazarova__Liudmilla_Ananko__Olena_Zubrilova_BLR,team,Belarus,BLR
biathlon_world_team_Russia_Anna_Bogaliy-Titovets__Sergei_Tchepikov__Irina_Malgina__Nikolay_Kruglov_Jr_RUS,team,Russia,RUS
biathlon_world_team_Norway_Linda_Tjørhom__Halvard_Hanevold__Tora_Berger__Ole_Einar_Bjørndalen_NOR,team,Norway,NOR
biathlon_world_team_France_Florence_Baverel-Robert__Vincent_Defrasne__Sandrine_Bailly__Raphaël_Poirée_FRA,team,France,FRA
biathlon_world_athlete_Michal_lesingr_CZE,athlete,Michal Šlesingr,CZE
biathlon_world_athlete_Andreas_Birnbacher_GER,athlete,Andreas Birnbacher,GER
biathlon_world_athlete_Maxim_Chudov_RUS,athlete,Maxim Chudov,RUS
biathlon_world_athlete_Vincent_Defrasne_FRA,athlete,Vincent Defrasne,FRA
biathlon_world_team_Russia_Ivan_Tcherezov__Maxim_Chudov__Dmitri_Yaroshenko__Nikolay_Kruglov_Jr_RUS,team,Russia,RUS
biathlon_world_team_Norway_Halvard_Hanevold__Lars_Berger__Frode_Andresen__Ole_Einar_Bjørndalen_NOR,team,Norway,NOR
biathlon_world_team_Germany_Ricco_Groß__Michael_Rösch__Sven_Fischer__Michael_Greis_GER,team,Germany,GER
biathlon_world_athlete_Andriy_Deryzemlya_UKR,athlete,Andriy Deryzemlya,UKR
biathlon_world_team_Sweden_Helena_Jonsson__Anna_Carin_Olofsson__Björn_Ferry__Carl_Johan_Bergman_SWE,team,Sweden,SWE
biathlon_world_team_France_Florence_Baverel-Robert__Sandrine_Bailly__Vincent_Defrasne__Raphaël_Poirée_FRA,team,France,FRA
biathlon_world_team_Norway_Tora_Berger__Jori_Mørkve__Emil_Hegle_Svendsen__Frode_Andresen_NOR,team,Norway,NOR
biathlon_world_athlete_Linda_Grubben_NOR,athlete,Linda Grubben,NOR
biathlon_world_athlete_Florence_Baverel-Robert_FRA,athlete,Florence Baverel-Robert,FRA
biathlon_world_athlete_Magdalena_Neuner_GER,athlete,Magdalena Neuner,GER
biathlon_world_team_Germany_Martina_Glagow__Andrea_Henkel__Magdalena_Neuner__Kati_Wilhelm_GER,team,Germany,GER
biathlon_world_team_France_Florence_Baverel-Robert__Delphyne_Peretto__Sylvie_Becaert__Sandrine_Bailly_FRA,team,France,FRA
biathlon_world_team_Norway_Tora_Berger__Ann_Kristin_Aafedt_Flatland__Jori_Mørkve__Linda_Grubben_NOR,team,Norway,NOR
biathlon_world_athlete_Natalia_Guseva_RUS,athlete,Natalia Guseva,RUS
biathlon_world_athlete_Emil_Hegle_Svendsen_NOR,athlete,Emil Hegle Svendsen,NOR
biathlon_world_athlete_Maxim_Maksimov_RUS,athlete,Maxim Maksimov,RUS
biathlon_world_athlete_Alexander_Wolf_GER,athlete,Alexander Wolf,GER
