event_id,participant_id,rank,medal,score_raw,points_awarded
biathlon_world_championships_2025_mixed_single-mixed-relay,biathlon_world_team_Norway_Ragnhild_Femsteinevik__Johannes_Thingnes_Bø_NOR,2,silver,discipline=Biathlon;event=Biathlon World Championships Mixed Single mixed relay;event_label=Single mixed relay;team_members=Ragnhild Femsteinevik / Johannes Thingnes Bø;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2025_mixed_single-mixed-relay,biathlon_world_team_Germany_Franziska_Preuß__Justus_Strelow_GER,3,bronze,discipline=Biathlon;event=Biathlon World Championships Mixed Single mixed relay;event_label=Single mixed relay;team_members=Franziska Preuß / Justus Strelow;entry_country=GER;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2025_women_individual-15-km,biathlon_world_athlete_Julia_Simon_FRA,1,gold,discipline=Biathlon;event=Biathlon World Championships Women Individual (15 km);event_label=Individual (15 km);team_members=;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2025_women_individual-15-km,biathlon_world_athlete_Ella_Halvarsson_SWE,2,silver,discipline=Biathlon;event=Biathlon World Championships Women Individual (15 km);event_label=Individual (15 km);team_members=;entry_country=SWE;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2025_women_individual-15-km,biathlon_world_athlete_Lou_Jeanmonnot_FRA,3,bronze,discipline=Biathlon;event=Biathlon World Championships Women Individual (15 km);event_label=Individual (15 km);team_members=;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2025_women_mass-start-12-5-km,biathlon_world_athlete_Elvira_Öberg_SWE,1,gold,discipline=Biathlon;event=Biathlon World Championships Women Mass start (12.5 km);event_label=Mass start (12.5 km);team_members=;entry_country=SWE;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2025_women_mass-start-12-5-km,biathlon_world_athlete_Océane_Michelon_FRA,2,silver,discipline=Biathlon;event=Biathlon World Championships Women Mass start (12.5 km);event_label=Mass start (12.5 km);team_members=;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2025_women_mass-start-12-5-km,biathlon_world_athlete_Maren_Kirkeeide_NOR,3,bronze,discipline=Biathlon;event=Biathlon World Championships Women Mass start (12.5 km);event_label=Mass start (12.5 km);team_members=;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2025_women_pursuit-10-km,biathlon_world_athlete_Franziska_Preuß_GER,1,gold,discipline=Biathlon;event=Biathlon World Championships Women Pursuit (10 km);event_label=Pursuit (10 km);team_members=;entry_country=GER;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2025_women_pursuit-10-km,biathlon_world_athlete_Elvira_Öberg_SWE,2,silver,discipline=Biathlon;event=Biathlon World Championships Women Pursuit (10 km);event_label=Pursuit (10 km);team_members=;entry_country=SWE;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2025_women_pursuit-10-km,biathlon_world_athlete_Justine_Braisaz-Bouchet_FRA,3,bronze,discipline=Biathlon;event=Biathlon World Championships Women Pursuit (10 km);event_label=Pursuit (10 km);team_members=;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2025_women_relay-4-6-km,biathlon_world_team_France_Lou_Jeanmonnot__Océane_Michelon__Justine_Braisaz-Bouchet__Julia_Simon_FRA,1,gold,discipline=Biathlon;event=Biathlon World Championships Women Relay (4 × 6 km);event_label=Relay (4 × 6 km);team_members=Lou Jeanmonnot / Océane Michelon / Justine Braisaz-Bouchet / Julia Simon;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2025_women_relay-4-6-km,biathlon_world_team_Norway_Karoline_Offigstad_Knotten__Ingrid_Landmark_Tandrevold__Ragnhild_Femsteinevik__Maren_Kirkeeide_NOR,2,silver,discipline=Biathlon;event=Biathlon World Championships Women Relay (4 × 6 km);event_label=Relay (4 × 6 km);team_members=Karoline Offigstad Knotten / Ingrid Landmark Tandrevold / Ragnhild Femsteinevik / Maren Kirkeeide;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2025_women_relay-4-6-km,biathlon_world_team_Sweden_Anna_Magnusson__Ella_Halvarsson__Hanna_Öberg__Elvira_Öberg_SWE,3,bronze,discipline=Biathlon;event=Biathlon World Championships Women Relay (4 × 6 km);event_label=Relay (4 × 6 km);team_members=Anna Magnusson / Ella Halvarsson / Hanna Öberg / Elvira Öberg;entry_country=SWE;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2025_women_sprint-7-5-km,biathlon_world_athlete_Justine_Braisaz-Bouchet_FRA,1,gold,discipline=Biathlon;event=Biathlon World Championships Women Sprint (7.5 km);event_label=Sprint (7.5 km);team_members=;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2025_women_sprint-7-5-km,biathlon_world_athlete_Franziska_Preuß_GER,2,silver,discipline=Biathlon;event=Biathlon World Championships Women Sprint (7.5 km);event_label=Sprint (7.5 km);team_members=;entry_country=GER;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2025_women_sprint-7-5-km,biathlon_world_athlete_Suvi_Minkkinen_FIN,3,bronze,discipline=Biathlon;event=Biathlon World Championships Women Sprint (7.5 km);event_label=Sprint (7.5 km);team_members=;entry_country=FIN;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
