competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
fig_artistic_gymnastics_world_championships,FIG Artistic Gymnastics World Championships,2001,2001-12-31,floor-exercise,Artistic Gymnastics - Floor exercise,Floor exercise,men,1,gold,athlete,Yordan Yovchev,Bulgaria,BGR,https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships
fig_artistic_gymnastics_world_championships,FIG Artistic Gymnastics World Championships,2001,2001-12-31,floor-exercise,Artistic Gymnastics - Floor exercise,Floor exercise,men,1,gold,athlete,Marian Drăgulescu,Romania,ROU,https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships
fig_artistic_gymnastics_world_championships,FIG Artistic Gymnastics World Championships,2001,2001-12-31,floor-exercise,Artistic Gymnastics - Floor exercise,Floor exercise,men,3,bronze,athlete,Igors Vihrovs,Latvia,LVA,https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships
fig_artistic_gymnastics_world_championships,FIG Artistic Gymnastics World Championships,2001,2001-12-31,horizontal-bar,Artistic Gymnastics - Horizontal bar,Horizontal bar,men,1,gold,athlete,Vlasios Maras,Greece,GRC,https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships
fig_artistic_gymnastics_world_championships,FIG Artistic Gymnastics World Championships,2001,2001-12-31,horizontal-bar,Artistic Gymnastics - Horizontal bar,Horizontal bar,men,2,silver,athlete,Philippe Rizzo,Australia,AUS,https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships
fig_artistic_gymnastics_world_championships,FIG Artistic Gymnastics World Championships,2001,2001-12-31,horizontal-bar,Artistic Gymnastics - Horizontal bar,Horizontal bar,men,2,silver,athlete,Alexander Beresh,Ukraine,UKR,https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships
fig_artistic_gymnastics_world_championships,FIG Artistic Gymnastics World Championships,2001,2001-12-31,individual-all-around,Artistic Gymnastics - Individual all-around,Individual all-around,men,1,gold,athlete,Feng Jing,China,CHN,https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships
fig_artistic_gymnastics_world_championships,FIG Artistic Gymnastics World Championships,2001,2001-12-31,individual-all-around,Artistic Gymnastics - Individual all-around,Individual all-around,men,2,silver,athlete,Ivan Ivankov,Belarus,BLR,https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships
fig_artistic_gymnastics_world_championships,FIG Artistic Gymnastics World Championships,2001,2001-12-31,individual-all-around,Artistic Gymnastics - Individual all-around,Individual all-around,men,3,bronze,athlete,Yordan Yovchev,Bulgaria,BGR,https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships
fig_artistic_gymnastics_world_championships,FIG Artistic Gymnastics World Championships,2001,2001-12-31,parallel-bars,Artistic Gymnastics - Parallel bars,Parallel bars,men,1,gold,athlete,Sean Townsend,United States,USA,https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships
