competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_key,event_name,gender,event_label,rank,medal,participant_type,participant_name,country_name,country_code,source_text,source_url
iba_mens_world_boxing_championships,IBA Men's World Boxing Championships,2001,2001-12-31,boxing,Boxing,bantamweight-54-kilograms,IBA Men's World Boxing Championships Men Bantamweight ( – 54 kilograms),men,Bantamweight ( – 54 kilograms),1,gold,athlete,Guillermo Rigondeaux,Cuba,CUB,Guillermo Rigondeaux Cuba,https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships
iba_mens_world_boxing_championships,IBA Men's World Boxing Championships,2001,2001-12-31,boxing,Boxing,bantamweight-54-kilograms,IBA Men's World Boxing Championships Men Bantamweight ( – 54 kilograms),men,Bantamweight ( – 54 kilograms),2,silver,athlete,Agasi Agaguloglu,Türkiye,TUR,Agasi Agaguloglu Turkey,https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships
iba_mens_world_boxing_championships,IBA Men's World Boxing Championships,2001,2001-12-31,boxing,Boxing,bantamweight-54-kilograms,IBA Men's World Boxing Championships Men Bantamweight ( – 54 kilograms),men,Bantamweight ( – 54 kilograms),3,bronze,athlete,Elio Rojas,Dominican Republic,DOM,Serhiy Danylchenko Ukraine Elio Rojas Dominican Republic,https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships
iba_mens_world_boxing_championships,IBA Men's World Boxing Championships,2001,2001-12-31,boxing,Boxing,bantamweight-54-kilograms,IBA Men's World Boxing Championships Men Bantamweight ( – 54 kilograms),men,Bantamweight ( – 54 kilograms),3,bronze,athlete,Serhiy Danylchenko,Ukraine,UKR,Serhiy Danylchenko Ukraine Elio Rojas Dominican Republic,https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships
iba_mens_world_boxing_championships,IBA Men's World Boxing Championships,2001,2001-12-31,boxing,Boxing,featherweight-57-kilograms,IBA Men's World Boxing Championships Men Featherweight ( – 57 kilograms),men,Featherweight ( – 57 kilograms),1,gold,athlete,Ramaz Paliani,Türkiye,TUR,Ramaz Paliani Turkey,https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships
iba_mens_world_boxing_championships,IBA Men's World Boxing Championships,2001,2001-12-31,boxing,Boxing,featherweight-57-kilograms,IBA Men's World Boxing Championships Men Featherweight ( – 57 kilograms),men,Featherweight ( – 57 kilograms),2,silver,athlete,Galib Jafarov,Kazakhstan,KAZ,Galib Jafarov Kazakhstan,https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships
iba_mens_world_boxing_championships,IBA Men's World Boxing Championships,2001,2001-12-31,boxing,Boxing,featherweight-57-kilograms,IBA Men's World Boxing Championships Men Featherweight ( – 57 kilograms),men,Featherweight ( – 57 kilograms),3,bronze,athlete,Joni Turunen,Finland,FIN,Majid Jelili Sweden Joni Turunen Finland,https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships
iba_mens_world_boxing_championships,IBA Men's World Boxing Championships,2001,2001-12-31,boxing,Boxing,featherweight-57-kilograms,IBA Men's World Boxing Championships Men Featherweight ( – 57 kilograms),men,Featherweight ( – 57 kilograms),3,bronze,athlete,Majid Jelili,Sweden,SWE,Majid Jelili Sweden Joni Turunen Finland,https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships
iba_mens_world_boxing_championships,IBA Men's World Boxing Championships,2001,2001-12-31,boxing,Boxing,flyweight-51-kilograms,IBA Men's World Boxing Championships Men Flyweight ( – 51 kilograms),men,Flyweight ( – 51 kilograms),1,gold,athlete,Jérôme Thomas,France,FRA,Jérôme Thomas France,https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships
iba_mens_world_boxing_championships,IBA Men's World Boxing Championships,2001,2001-12-31,boxing,Boxing,flyweight-51-kilograms,IBA Men's World Boxing Championships Men Flyweight ( – 51 kilograms),men,Flyweight ( – 51 kilograms),2,silver,athlete,Volodymyr Sydorenko,Ukraine,UKR,Volodymyr Sydorenko Ukraine,https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships
