event_id,participant_id,rank,medal,score_raw,points_awarded
world_aquatics_championships_2001_men_swimming-100-m-backstroke,athlete_Örn_Arnarson_ISL,2,silver,discipline=swimming-100-m-backstroke;source_discipline=swimming;source_event=Men's 100 m backstroke;performance=54.75;country=ISL,2.0
world_aquatics_championships_2001_men_swimming-100-m-breaststroke,athlete_Domenico_Fioravanti_ITA,2,silver,discipline=swimming-100-m-breaststroke;source_discipline=swimming;source_event=Men's 100 m breaststroke;performance=1:00.47;country=ITA,2.0
world_aquatics_championships_2001_men_swimming-100-m-breaststroke,athlete_Ed_Moses_USA,3,bronze,discipline=swimming-100-m-breaststroke;source_discipline=swimming;source_event=Men's 100 m breaststroke;performance=1:00.61;country=USA,1.0
world_aquatics_championships_2001_men_swimming-100-m-breaststroke,athlete_Roman_Sloudnov_RUS,1,gold,discipline=swimming-100-m-breaststroke;source_discipline=swimming;source_event=Men's 100 m breaststroke;performance=1:00.16;country=RUS,3.0
world_aquatics_championships_2001_men_swimming-100-m-butterfly,athlete_Geoff_Huegill_AUS,3,bronze,discipline=swimming-100-m-butterfly;source_discipline=swimming;source_event=Men's 100 m butterfly;performance=52.36;country=AUS,1.0
world_aquatics_championships_2001_men_swimming-100-m-butterfly,athlete_Ian_Crocker_USA,2,silver,discipline=swimming-100-m-butterfly;source_discipline=swimming;source_event=Men's 100 m butterfly;performance=52.25 AM;country=USA,2.0
world_aquatics_championships_2001_men_swimming-100-m-butterfly,athlete_Lars_Frölander_SWE,1,gold,discipline=swimming-100-m-butterfly;source_discipline=swimming;source_event=Men's 100 m butterfly;performance=52.10 CR;country=SWE,3.0
world_aquatics_championships_2001_men_swimming-100-m-freestyle,athlete_Anthony_Ervin_USA,1,gold,"discipline=swimming-100-m-freestyle;source_discipline=swimming;source_event=Men's 100 m freestyle;performance=48.33 CR, AM;country=USA",3.0
world_aquatics_championships_2001_men_swimming-100-m-freestyle,athlete_Lars_Frölander_SWE,3,bronze,discipline=swimming-100-m-freestyle;source_discipline=swimming;source_event=Men's 100 m freestyle;performance=48.79;country=SWE,1.0
world_aquatics_championships_2001_men_swimming-100-m-freestyle,athlete_Pieter_van_den_Hoogenband_NED,2,silver,discipline=swimming-100-m-freestyle;source_discipline=swimming;source_event=Men's 100 m freestyle;performance=48.43;country=NED,2.0
world_aquatics_championships_2001_men_swimming-1500-m-freestyle,athlete_Alexei_Filipets_RUS,3,bronze,discipline=swimming-1500-m-freestyle;source_discipline=swimming;source_event=Men's 1500 m freestyle;performance=15:01.43;country=RUS,1.0
world_aquatics_championships_2001_men_swimming-1500-m-freestyle,athlete_Graeme_Smith_GBR,2,silver,discipline=swimming-1500-m-freestyle;source_discipline=swimming;source_event=Men's 1500 m freestyle;performance=14:58.94 NR;country=GBR,2.0
world_aquatics_championships_2001_men_swimming-1500-m-freestyle,athlete_Grant_Hackett_AUS,1,gold,discipline=swimming-1500-m-freestyle;source_discipline=swimming;source_event=Men's 1500 m freestyle;performance=14:34.56 WR;country=AUS,3.0
world_aquatics_championships_2001_men_swimming-200-m-backstroke,athlete_Aaron_Peirsol_USA,1,gold,discipline=swimming-200-m-backstroke;source_discipline=swimming;source_event=Men's 200 m backstroke;performance=1:57.13 CR;country=USA,3.0
world_aquatics_championships_2001_men_swimming-200-m-backstroke,athlete_Markus_Rogan_AUT,2,silver,discipline=swimming-200-m-backstroke;source_discipline=swimming;source_event=Men's 200 m backstroke;performance=1:58.07;country=AUT,2.0
world_aquatics_championships_2001_men_swimming-200-m-backstroke,athlete_Örn_Arnarson_ISL,3,bronze,discipline=swimming-200-m-backstroke;source_discipline=swimming;source_event=Men's 200 m backstroke;performance=1:58.37;country=ISL,1.0
world_aquatics_championships_2001_men_swimming-200-m-breaststroke,athlete_Brendan_Hansen_USA,1,gold,discipline=swimming-200-m-breaststroke;source_discipline=swimming;source_event=Men's 200 m breaststroke;performance=2:10.69 CR;country=USA,3.0
world_aquatics_championships_2001_men_swimming-200-m-breaststroke,athlete_Kosuke_Kitajima_JPN,3,bronze,discipline=swimming-200-m-breaststroke;source_discipline=swimming;source_event=Men's 200 m breaststroke;performance=2:11.21 AS;country=JPN,1.0
