competition_id,competition_name,year,event_date,discipline_key,discipline_id,discipline_name,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM1x,rowing-lightweight-single-sculls,Lightweight Single sculls,LM1x,men,1,gold,athlete,Ireland,Ireland,IRL,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM1x,rowing-lightweight-single-sculls,Lightweight Single sculls,LM1x,men,2,silver,athlete,Stefano Basalini,Italy,ITA,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM1x,rowing-lightweight-single-sculls,Lightweight Single sculls,LM1x,men,3,bronze,athlete,Michal Vabroušek,Czechia,CZE,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM2-,rowing-lightweight-coxless-pair,Lightweight Coxless pair,LM2-,men,1,gold,team,Ireland,Ireland,IRL,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM2-,rowing-lightweight-coxless-pair,Lightweight Coxless pair,LM2-,men,2,silver,team,Netherlands,Netherlands,NLD,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM2-,rowing-lightweight-coxless-pair,Lightweight Coxless pair,LM2-,men,3,bronze,team,Italy,Italy,ITA,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM2x,rowing-lightweight-double-sculls,Lightweight Double sculls,LM2x,men,1,gold,team,Italy,Italy,ITA,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM2x,rowing-lightweight-double-sculls,Lightweight Double sculls,LM2x,men,2,silver,team,Poland,Poland,POL,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM2x,rowing-lightweight-double-sculls,Lightweight Double sculls,LM2x,men,3,bronze,team,France,France,FRA,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM4-,rowing-lightweight-coxless-four,Lightweight Coxless four,LM4-,men,1,gold,team,Austria,Austria,AUT,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM4-,rowing-lightweight-coxless-four,Lightweight Coxless four,LM4-,men,2,silver,team,Denmark,Denmark,DNK,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM4-,rowing-lightweight-coxless-four,Lightweight Coxless four,LM4-,men,3,bronze,team,France,France,FRA,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM4x,rowing-lightweight-quadruple-sculls,Lightweight Quadruple sculls,LM4x,men,1,gold,team,Italy,Italy,ITA,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM4x,rowing-lightweight-quadruple-sculls,Lightweight Quadruple sculls,LM4x,men,2,silver,team,Greece,Greece,GRC,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM4x,rowing-lightweight-quadruple-sculls,Lightweight Quadruple sculls,LM4x,men,3,bronze,team,Japan,Japan,JPN,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM8+,rowing-lightweight-eight,Lightweight Eight,LM8+,men,1,gold,team,France,France,FRA,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM8+,rowing-lightweight-eight,Lightweight Eight,LM8+,men,2,silver,team,Denmark,Denmark,DNK,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LM8+,rowing-lightweight-eight,Lightweight Eight,LM8+,men,3,bronze,team,United States,United States,USA,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LW1x,rowing-lightweight-single-sculls,Lightweight Single sculls,LW1x,women,1,gold,athlete,Ireland,Ireland,IRL,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LW1x,rowing-lightweight-single-sculls,Lightweight Single sculls,LW1x,women,2,silver,athlete,Mirjam ter Beek,Netherlands,NLD,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LW1x,rowing-lightweight-single-sculls,Lightweight Single sculls,LW1x,women,3,bronze,athlete,Pia Vogel,Switzerland,CHE,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LW2-,rowing-lightweight-coxless-pair,Lightweight Coxless pair,LW2-,women,1,gold,team,United Kingdom,United Kingdom,GBR,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LW2-,rowing-lightweight-coxless-pair,Lightweight Coxless pair,LW2-,women,2,silver,team,United States,United States,USA,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LW2-,rowing-lightweight-coxless-pair,Lightweight Coxless pair,LW2-,women,3,bronze,team,Argentina,Argentina,ARG,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LW2x,rowing-lightweight-double-sculls,Lightweight Double sculls,LW2x,women,1,gold,team,Germany,Germany,DEU,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LW2x,rowing-lightweight-double-sculls,Lightweight Double sculls,LW2x,women,2,silver,team,Poland,Poland,POL,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LW2x,rowing-lightweight-double-sculls,Lightweight Double sculls,LW2x,women,3,bronze,team,Romania,Romania,ROU,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LW4x,rowing-lightweight-quadruple-sculls,Lightweight Quadruple sculls,LW4x,women,1,gold,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LW4x,rowing-lightweight-quadruple-sculls,Lightweight Quadruple sculls,LW4x,women,2,silver,team,United States,United States,USA,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,LW4x,rowing-lightweight-quadruple-sculls,Lightweight Quadruple sculls,LW4x,women,3,bronze,team,Netherlands,Netherlands,NLD,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,M1x,rowing-single-sculls,Single sculls,M1x,men,1,gold,athlete,Olaf Tufte,Norway,NOR,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,M1x,rowing-single-sculls,Single sculls,M1x,men,2,silver,athlete,Iztok Čop,Slovenia,SVN,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,M1x,rowing-single-sculls,Single sculls,M1x,men,3,bronze,athlete,Václav Chalupa,Czechia,CZE,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
world_rowing_championships,World Rowing Championships,2001,2001-12-31,M2+,rowing-coxed-pair,Coxed pair,M2+,men,1,gold,team,United Kingdom,United Kingdom,GBR,https://en.wikipedia.org/wiki/2001_World_Rowing_Championships
