competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_key,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
world_archery_championships,World Archery Championships,2001,2001-12-31,archery-compound,Compound,individual,Men's individual,men,1,gold,athlete,Dejan Sitar,Slovenia,SVN,https://en.wikipedia.org/wiki/2001_World_Archery_Championships
world_archery_championships,World Archery Championships,2001,2001-12-31,archery-compound,Compound,individual,Men's individual,men,2,silver,athlete,Morgan Lundin,Sweden,SWE,https://en.wikipedia.org/wiki/2001_World_Archery_Championships
world_archery_championships,World Archery Championships,2001,2001-12-31,archery-compound,Compound,individual,Men's individual,men,3,bronze,athlete,Morten Bøe,Norway,NOR,https://en.wikipedia.org/wiki/2001_World_Archery_Championships
world_archery_championships,World Archery Championships,2001,2001-12-31,archery-compound,Compound,individual,Women's individual,women,1,gold,athlete,Ulrika Sjöwall,Sweden,SWE,https://en.wikipedia.org/wiki/2001_World_Archery_Championships
world_archery_championships,World Archery Championships,2001,2001-12-31,archery-compound,Compound,individual,Women's individual,women,2,silver,athlete,Bettina Thiele,Germany,DEU,https://en.wikipedia.org/wiki/2001_World_Archery_Championships
world_archery_championships,World Archery Championships,2001,2001-12-31,archery-compound,Compound,individual,Women's individual,women,3,bronze,athlete,Sirkka Sokka-Matikainen,Finland,FIN,https://en.wikipedia.org/wiki/2001_World_Archery_Championships
world_archery_championships,World Archery Championships,2001,2001-12-31,archery-compound,Compound,team,Men's team,men,1,gold,team,Morten Bøe Sigmund Johansen Kolbjoern Flaa,Norway,NOR,https://en.wikipedia.org/wiki/2001_World_Archery_Championships
world_archery_championships,World Archery Championships,2001,2001-12-31,archery-compound,Compound,team,Men's team,men,2,silver,team,Robert Hesse Stefan Griem Rainer Voss,Germany,DEU,https://en.wikipedia.org/wiki/2001_World_Archery_Championships
world_archery_championships,World Archery Championships,2001,2001-12-31,archery-compound,Compound,team,Men's team,men,3,bronze,team,Chris White Michael Peart Jonathan Mynott,United Kingdom,GBR,https://en.wikipedia.org/wiki/2001_World_Archery_Championships
world_archery_championships,World Archery Championships,2001,2001-12-31,archery-compound,Compound,team,Women's team,women,1,gold,team,Maggy Masson Catherine Pellen Valerie Fabre,France,FRA,https://en.wikipedia.org/wiki/2001_World_Archery_Championships
world_archery_championships,World Archery Championships,2001,2001-12-31,archery-compound,Compound,team,Women's team,women,2,silver,team,Stefania Montagnoni Assunta Atorino Francesca Peracino,Italy,ITA,https://en.wikipedia.org/wiki/2001_World_Archery_Championships
world_archery_championships,World Archery Championships,2001,2001-12-31,archery-compound,Compound,team,Women's team,women,3,bronze,team,Irma Luyting Marjon Pigney Olga Zandvliet,Netherlands,NLD,https://en.wikipedia.org/wiki/2001_World_Archery_Championships
world_archery_championships,World Archery Championships,2001,2001-12-31,archery-recurve,Recurve,individual,Men's individual,men,1,gold,athlete,Yeon Jung-ki,"Korea, Republic of",KOR,https://en.wikipedia.org/wiki/2001_World_Archery_Championships
