competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_key,event_name,gender,event_label,rank,medal,participant_type,participant_name,country_name,country_code,source_text,source_url
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-75-kg,World Karate Championships Men Kumite −75 kg,men,Kumite −75 kg,3,bronze,athlete,İsmail Hakkı Şen,Türkiye,TUR,İsmail Hakkı Şen Turkey,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-80-kg,World Karate Championships Men Kumite −80 kg,men,Kumite −80 kg,1,gold,athlete,Yann Baillon,France,FRA,Yann Baillon France,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-80-kg,World Karate Championships Men Kumite −80 kg,men,Kumite −80 kg,2,silver,athlete,Daniël Sabanovic,Netherlands,NLD,Daniël Sabanovic Netherlands,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-80-kg,World Karate Championships Men Kumite −80 kg,men,Kumite −80 kg,3,bronze,athlete,Zeynel Çelik,Türkiye,TUR,Zeynel Çelik Turkey,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-80-kg,World Karate Championships Men Kumite −80 kg,men,Kumite −80 kg,3,bronze,athlete,Miloš Živković,Yugoslavia,YUG,Miloš Živković Yugoslavia,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-open,World Karate Championships Men Kumite open,men,Kumite open,1,gold,athlete,Predrag Stojadinov,Yugoslavia,YUG,Predrag Stojadinov Yugoslavia,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-open,World Karate Championships Men Kumite open,men,Kumite open,2,silver,athlete,Daniel Devigili,Austria,AUT,Daniel Devigili Austria,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-open,World Karate Championships Men Kumite open,men,Kumite open,3,bronze,athlete,Konstantinos Papadopoulos,Greece,GRC,Konstantinos Papadopoulos Greece,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-open,World Karate Championships Men Kumite open,men,Kumite open,3,bronze,athlete,Klaudio Farmadín,Slovakia,SVK,Klaudio Farmadín Slovakia,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-plus80-kg,World Karate Championships Men Kumite +80 kg,men,Kumite +80 kg,1,gold,athlete,Leon Walters,England,ENG,Leon Walters England,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-plus80-kg,World Karate Championships Men Kumite +80 kg,men,Kumite +80 kg,2,silver,athlete,Alexander Gerunov,Russia,RUS,Alexander Gerunov Russia,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-plus80-kg,World Karate Championships Men Kumite +80 kg,men,Kumite +80 kg,3,bronze,athlete,Jan Tuček,Czech Republic,CZE,Jan Tuček Czech Republic,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-plus80-kg,World Karate Championships Men Kumite +80 kg,men,Kumite +80 kg,3,bronze,athlete,Seydina Baldé,France,FRA,Seydina Baldé France,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kata,World Karate Championships Men Team kata,men,Team kata,1,gold,team,Japan Men Team kata,Japan,JPN,Japan,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kata,World Karate Championships Men Team kata,men,Team kata,2,silver,team,Spain Men Team kata,Spain,ESP,Spain Javier Hernández Víctor López Fernando San José,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kata,World Karate Championships Men Team kata,men,Team kata,3,bronze,team,Croatia Men Team kata,Croatia,HRV,Croatia,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kata,World Karate Championships Men Team kata,men,Team kata,3,bronze,team,Italy Men Team kata,Italy,ITA,Italy Vincenzo Figuccio Lucio Maurino Luca Valdesi,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kumite,World Karate Championships Men Team kumite,men,Team kumite,1,gold,team,Spain Men Team kumite,Spain,ESP,Spain Tomás Herrero Iván Leal Francisco Martínez Óscar Martínez Ángel Ramiro David Santana Óscar Vázquez,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kumite,World Karate Championships Men Team kumite,men,Team kumite,2,silver,team,England Men Team kumite,England,ENG,England,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kumite,World Karate Championships Men Team kumite,men,Team kumite,3,bronze,team,France Men Team kumite,France,FRA,France Yann Baillon Seydina Baldé Olivier Beaudry Rida Bel Lahsen Alexandre Biamonti David Félix Messaoud Hammou,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kumite,World Karate Championships Men Team kumite,men,Team kumite,3,bronze,team,Iran Men Team kumite,Iran,IRI,Iran Mehdi Amouzadeh Mehran Behnamfar Maziar Elhami Alireza Katiraei Nasser Khajeh-Hosseini Hassan Shaterzadeh Jasem Vishkaei,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
