event_id,participant_id,rank,medal,score_raw,points_awarded
world_judo_championships_2017_women_judo-women-minus-48-kg,athlete_Funa_Tonaki_JPN,1,gold,discipline=judo-women-minus-48-kg;event=Extra-lightweight (-48 kg);country=JPN;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,3.0
world_judo_championships_2017_women_judo-women-minus-48-kg,athlete_Galbadrakhyn_Otgontsetseg_KAZ,3,bronze,discipline=judo-women-minus-48-kg;event=Extra-lightweight (-48 kg);country=KAZ;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,1.0
world_judo_championships_2017_women_judo-women-minus-48-kg,athlete_Mönkhbatyn_Urantsetseg_MNG,2,silver,discipline=judo-women-minus-48-kg;event=Extra-lightweight (-48 kg);country=MNG;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,2.0
world_judo_championships_2017_women_judo-women-minus-52-kg,athlete_Ai_Shishime_JPN,1,gold,discipline=judo-women-minus-52-kg;event=Half-lightweight (-52 kg);country=JPN;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,3.0
world_judo_championships_2017_women_judo-women-minus-52-kg,athlete_Natalia_Kuziutina_RUS,3,bronze,discipline=judo-women-minus-52-kg;event=Half-lightweight (-52 kg);country=RUS;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,1.0
world_judo_championships_2017_women_judo-women-minus-52-kg,athlete_Natsumi_Tsunoda_JPN,2,silver,discipline=judo-women-minus-52-kg;event=Half-lightweight (-52 kg);country=JPN;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,2.0
world_judo_championships_2017_women_judo-women-minus-52-kg,athlete_Érika_Miranda_BRA,3,bronze,discipline=judo-women-minus-52-kg;event=Half-lightweight (-52 kg);country=BRA;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,1.0
world_judo_championships_2017_women_judo-women-minus-57-kg,athlete_Hélène_Receveaux_FRA,3,bronze,discipline=judo-women-minus-57-kg;event=Lightweight (-57 kg);country=FRA;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,1.0
world_judo_championships_2017_women_judo-women-minus-57-kg,athlete_Nekoda_Smythe-Davis_Great_Britain_GBR,3,bronze,discipline=judo-women-minus-57-kg;event=Lightweight (-57 kg);country=GBR;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,1.0
world_judo_championships_2017_women_judo-women-minus-57-kg,athlete_Sumiya_Dorjsuren_MNG,1,gold,discipline=judo-women-minus-57-kg;event=Lightweight (-57 kg);country=MNG;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,3.0
world_judo_championships_2017_women_judo-women-minus-57-kg,athlete_Tsukasa_Yoshida_JPN,2,silver,discipline=judo-women-minus-57-kg;event=Lightweight (-57 kg);country=JPN;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,2.0
world_judo_championships_2017_women_judo-women-minus-63-kg,athlete_Agata_Ozdoba-Bach_POL,3,bronze,discipline=judo-women-minus-63-kg;event=Half-middleweight (-63 kg);country=POL;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,1.0
world_judo_championships_2017_women_judo-women-minus-63-kg,athlete_Baldorjyn_Möngönchimeg_MNG,3,bronze,discipline=judo-women-minus-63-kg;event=Half-middleweight (-63 kg);country=MNG;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,1.0
world_judo_championships_2017_women_judo-women-minus-63-kg,athlete_Clarisse_Agbegnenou_FRA,1,gold,discipline=judo-women-minus-63-kg;event=Half-middleweight (-63 kg);country=FRA;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,3.0
world_judo_championships_2017_women_judo-women-minus-63-kg,athlete_Tina_Trstenjak_SVN,2,silver,discipline=judo-women-minus-63-kg;event=Half-middleweight (-63 kg);country=SVN;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,2.0
world_judo_championships_2017_women_judo-women-minus-70-kg,athlete_Chizuru_Arai_JPN,1,gold,discipline=judo-women-minus-70-kg;event=Middleweight (-70 kg);country=JPN;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,3.0
world_judo_championships_2017_women_judo-women-minus-70-kg,athlete_María_Bernabéu_ESP,3,bronze,discipline=judo-women-minus-70-kg;event=Middleweight (-70 kg);country=ESP;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,1.0
world_judo_championships_2017_women_judo-women-minus-70-kg,athlete_María_Pérez_PRI,2,silver,discipline=judo-women-minus-70-kg;event=Middleweight (-70 kg);country=PRI;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,2.0
world_judo_championships_2017_women_judo-women-minus-70-kg,athlete_Yuri_Alvear_COL,3,bronze,discipline=judo-women-minus-70-kg;event=Middleweight (-70 kg);country=COL;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,1.0
world_judo_championships_2017_women_judo-women-minus-78-kg,athlete_Kaliema_Antomarchi_CUB,3,bronze,discipline=judo-women-minus-78-kg;event=Half-heavyweight (-78 kg);country=CUB;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,1.0
world_judo_championships_2017_women_judo-women-minus-78-kg,athlete_Mami_Umeki_JPN,2,silver,discipline=judo-women-minus-78-kg;event=Half-heavyweight (-78 kg);country=JPN;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,2.0
world_judo_championships_2017_women_judo-women-minus-78-kg,athlete_Mayra_Aguiar_BRA,1,gold,discipline=judo-women-minus-78-kg;event=Half-heavyweight (-78 kg);country=BRA;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,3.0
world_judo_championships_2017_women_judo-women-minus-78-kg,athlete_Natalie_Powell_Great_Britain_GBR,3,bronze,discipline=judo-women-minus-78-kg;event=Half-heavyweight (-78 kg);country=GBR;source_url=https://en.wikipedia.org/wiki/2017_World_Judo_Championships,1.0
