competition_id,competition_name,year,event_date,discipline_key,discipline_name,gender,rank,participant_type,participant_name,country_name,country_code,source_url
fih_hockey_world_cup_women,Women's FIH Hockey World Cup,2014,2014-12-31,hockey,Hockey,women,3,team,Argentina,Argentina,ARG,https://en.wikipedia.org/wiki/Women%27s_FIH_Hockey_World_Cup
fih_hockey_world_cup_women,Women's FIH Hockey World Cup,2014,2014-12-31,hockey,Hockey,women,4,team,United States,United States,USA,https://en.wikipedia.org/wiki/Women%27s_FIH_Hockey_World_Cup
fih_hockey_world_cup_women,Women's FIH Hockey World Cup,2018,2018-12-31,hockey,Hockey,women,1,team,Netherlands,Netherlands,NLD,https://en.wikipedia.org/wiki/Women%27s_FIH_Hockey_World_Cup
fih_hockey_world_cup_women,Women's FIH Hockey World Cup,2018,2018-12-31,hockey,Hockey,women,2,team,Ireland,Ireland,IRL,https://en.wikipedia.org/wiki/Women%27s_FIH_Hockey_World_Cup
fih_hockey_world_cup_women,Women's FIH Hockey World Cup,2018,2018-12-31,hockey,Hockey,women,3,team,Spain,Spain,ESP,https://en.wikipedia.org/wiki/Women%27s_FIH_Hockey_World_Cup
fih_hockey_world_cup_women,Women's FIH Hockey World Cup,2018,2018-12-31,hockey,Hockey,women,4,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/Women%27s_FIH_Hockey_World_Cup
fih_hockey_world_cup_women,Women's FIH Hockey World Cup,2022,2022-12-31,hockey,Hockey,women,1,team,Netherlands,Netherlands,NLD,https://en.wikipedia.org/wiki/Women%27s_FIH_Hockey_World_Cup
fih_hockey_world_cup_women,Women's FIH Hockey World Cup,2022,2022-12-31,hockey,Hockey,women,2,team,Argentina,Argentina,ARG,https://en.wikipedia.org/wiki/Women%27s_FIH_Hockey_World_Cup
fih_hockey_world_cup_women,Women's FIH Hockey World Cup,2022,2022-12-31,hockey,Hockey,women,3,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/Women%27s_FIH_Hockey_World_Cup
fih_hockey_world_cup_women,Women's FIH Hockey World Cup,2022,2022-12-31,hockey,Hockey,women,4,team,Germany,Germany,DEU,https://en.wikipedia.org/wiki/Women%27s_FIH_Hockey_World_Cup
