competition_id,competition_name,year,event_date,discipline_key,discipline_name,class_key,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-470,470,470,Men's 470,men,1,gold,team,Gabrio Zandonà Andrea Trani,Italy,ITA,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-470,470,470,Men's 470,men,2,silver,team,Nathan Wilmot Malcolm Page,Australia,AUS,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-470,470,470,Men's 470,men,3,bronze,team,Gustavo Martínez Dimas Wood,Spain,ESP,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-470,470,470,Women's 470,women,1,gold,team,Sofia Bekatorou Emilia Tsoulfa,Greece,GRC,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-470,470,470,Women's 470,women,2,silver,team,Ingrid Petitjean Nadège Douroux,France,FRA,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-470,470,470,Women's 470,women,3,bronze,team,Vlada Ilyenko Nataliya Gaponovich,Russian Federation,RUS,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-49er,49er,49er,49er,men,1,gold,team,Christopher Draper Simon Hiscocks,United Kingdom,GBR,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-49er,49er,49er,49er,men,2,silver,team,Christoffer Sundby Frode Bovim,Norway,NOR,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-49er,49er,49er,49er,men,3,bronze,team,Rodion Luka George Leonchuk,Ukraine,UKR,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-europe,Europe,europe,Europe,women,1,gold,team,Siren Sundby,Norway,NOR,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-europe,Europe,europe,Europe,women,2,silver,team,Sari Multala,Finland,FIN,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-europe,Europe,europe,Europe,women,3,bronze,team,Petra Niemann,Germany,DEU,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-finn,Finn,finn,Finn,men,1,gold,team,Ben Ainslie,United Kingdom,GBR,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-finn,Finn,finn,Finn,men,2,silver,team,Rafael Trujillo,Spain,ESP,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-finn,Finn,finn,Finn,men,3,bronze,team,Andrew Simpson,United Kingdom,GBR,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-laser,Laser,laser,Laser,men,1,gold,team,Gustavo Lima,Portugal,PRT,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-laser,Laser,laser,Laser,men,2,silver,team,Robert Scheidt,Brazil,BRA,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-laser,Laser,laser,Laser,men,3,bronze,team,Michael Blackburn,Australia,AUS,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-mistral,Mistral,mistral,Men's Mistral,men,1,gold,team,Przemysław Miarczyński,Poland,POL,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-mistral,Mistral,mistral,Men's Mistral,men,2,silver,team,Nikolaos Kaklamanakis,Greece,GRC,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-mistral,Mistral,mistral,Men's Mistral,men,3,bronze,team,Gal Fridman,Israel,ISR,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
world_sailing_championships,Sailing World Championships,2003,2003-12-31,sailing-mistral,Mistral,mistral,Women's Mistral,women,1,gold,team,Lee Korzits,Israel,ISR,https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships
