event_id,participant_id,rank,medal,score_raw,points_awarded
uci_road_world_nation_ranking_2023,BEL,1,gold,uci_points=23090.71,23090.71
uci_road_world_nation_ranking_2023,DNK,2,silver,uci_points=18779.56,18779.56
uci_road_world_nation_ranking_2023,SVN,3,bronze,uci_points=16498.34,16498.34
uci_road_world_nation_ranking_2023,GBR,4,,uci_points=14331.47,14331.47
uci_road_world_nation_ranking_2023,FRA,5,,uci_points=13826.36,13826.36
uci_road_world_nation_ranking_2023,ESP,6,,uci_points=13493.38,13493.38
uci_road_world_nation_ranking_2023,NLD,7,,uci_points=11706.63,11706.63
uci_road_world_nation_ranking_2023,ITA,8,,uci_points=11621.9,11621.9
uci_road_world_nation_ranking_2023,AUS,9,,uci_points=10074.2,10074.2
uci_road_world_nation_ranking_2023,USA,10,,uci_points=9702.64,9702.64
uci_road_world_nation_ranking_2024,BEL,1,gold,uci_points=24499.0,24499.0
uci_road_world_nation_ranking_2024,SVN,2,silver,uci_points=17941.14,17941.14
uci_road_world_nation_ranking_2024,ESP,3,bronze,uci_points=14583.86,14583.86
uci_road_world_nation_ranking_2024,FRA,4,,uci_points=12399.71,12399.71
uci_road_world_nation_ranking_2024,DNK,5,,uci_points=12153.34,12153.34
uci_road_world_nation_ranking_2024,ITA,6,,uci_points=11847.67,11847.67
uci_road_world_nation_ranking_2024,NLD,7,,uci_points=11790.99,11790.99
uci_road_world_nation_ranking_2024,AUS,8,,uci_points=11522.99,11522.99
uci_road_world_nation_ranking_2024,GBR,9,,uci_points=11463.0,11463.0
uci_road_world_nation_ranking_2024,USA,10,,uci_points=9943.7,9943.7
uci_road_world_nation_ranking_2025,BEL,1,gold,uci_points=17986.29,17986.29
uci_road_world_nation_ranking_2025,DNK,2,silver,uci_points=17191.16,17191.16
uci_road_world_nation_ranking_2025,SVN,3,bronze,uci_points=14953.0,14953.0
uci_road_world_nation_ranking_2025,ITA,4,,uci_points=14943.07,14943.07
uci_road_world_nation_ranking_2025,GBR,5,,uci_points=14614.81,14614.81
uci_road_world_nation_ranking_2025,FRA,6,,uci_points=13769.23,13769.23
uci_road_world_nation_ranking_2025,AUS,7,,uci_points=11498.69,11498.69
uci_road_world_nation_ranking_2025,NLD,8,,uci_points=11094.29,11094.29
uci_road_world_nation_ranking_2025,USA,9,,uci_points=10231.76,10231.76
uci_road_world_nation_ranking_2025,ESP,10,,uci_points=9076.4,9076.4
uci_road_world_nation_ranking_2026,BEL,1,gold,uci_points=18307.19,18307.19
uci_road_world_nation_ranking_2026,DNK,2,silver,uci_points=17700.73,17700.73
uci_road_world_nation_ranking_2026,ITA,3,bronze,uci_points=15202.21,15202.21
uci_road_world_nation_ranking_2026,FRA,4,,uci_points=15082.47,15082.47
uci_road_world_nation_ranking_2026,SVN,5,,uci_points=14947.0,14947.0
uci_road_world_nation_ranking_2026,GBR,6,,uci_points=14243.14,14243.14
uci_road_world_nation_ranking_2026,AUS,7,,uci_points=11942.5,11942.5
uci_road_world_nation_ranking_2026,NLD,8,,uci_points=11045.72,11045.72
uci_road_world_nation_ranking_2026,USA,9,,uci_points=10294.04,10294.04
uci_road_world_nation_ranking_2026,ESP,10,,uci_points=7855.77,7855.77
