discipline_id,discipline_name,discipline_slug,sport_id,confidence,mapping_source,created_at_utc
archery-compound,Compound,compound,archery,1.0,connector_world_archery_championships_history,2026-06-10T07:07:56+00:00
archery-recurve,Recurve,recurve,archery,1.0,connector_world_archery_championships_history,2026-06-10T07:07:56+00:00
