event_id,participant_id,rank,medal,score_raw,points_awarded
world_athletics_championships_2001_men_800-m,athlete_Wilfred_Bungei_KEN,2,silver,discipline=800 m;performance=1:44.55;country=KEN,2.0
world_athletics_championships_2001_men_decathlon,athlete_Dean_Macey_GBR,3,bronze,discipline=Decathlon;performance=8603 (PB);country=GBR,1.0
world_athletics_championships_2001_men_decathlon,athlete_Erki_Nool_EST,2,silver,discipline=Decathlon;performance=8815 (NR);country=EST,2.0
world_athletics_championships_2001_men_decathlon,athlete_Tomá_Dvoák_CZE,1,gold,discipline=Decathlon;performance=8902 ( CR );country=CZE,3.0
world_athletics_championships_2001_men_discus-throw,athlete_Lars_Riedel_DEU,1,gold,discipline=Discus throw;performance=69.72 ( CR );country=DEU,3.0
world_athletics_championships_2001_men_discus-throw,athlete_Michael_Möllenbeck_DEU,3,bronze,discipline=Discus throw;performance=67.61 (PB);country=DEU,1.0
world_athletics_championships_2001_men_discus-throw,athlete_Virgilijus_Alekna_LTU,2,silver,discipline=Discus throw;performance=69.40;country=LTU,2.0
world_athletics_championships_2001_men_hammer-throw,athlete_Koji_Murofushi_JPN,2,silver,discipline=Hammer throw;performance=82.92;country=JPN,2.0
world_athletics_championships_2001_men_hammer-throw,athlete_Szymon_Ziókowski_POL,1,gold,discipline=Hammer throw;performance=83.38 ( CR );country=POL,3.0
world_athletics_championships_2001_men_javelin-throw,athlete_Aki_Parviainen_FIN,2,silver,discipline=Javelin throw;performance=91.31;country=FIN,2.0
world_athletics_championships_2001_men_javelin-throw,athlete_Jan_elezný_CZE,1,gold,discipline=Javelin throw;performance=92.80 ( CR );country=CZE,3.0
world_athletics_championships_2001_men_javelin-throw,athlete_Konstadinos_Gatsioudis_GRC,3,bronze,discipline=Javelin throw;performance=89.95;country=GRC,1.0
world_athletics_championships_2001_men_long-jump,athlete_Carlos_Calado_PRT,3,bronze,discipline=Long jump;performance=8.21 (SB);country=PRT,1.0
world_athletics_championships_2001_men_long-jump,athlete_Iván_Pedroso_CUB,1,gold,discipline=Long jump;performance=8.40;country=CUB,3.0
world_athletics_championships_2001_men_long-jump,athlete_Savanté_Stringfellow_USA,2,silver,discipline=Long jump;performance=8.24;country=USA,2.0
world_athletics_championships_2001_men_marathon,athlete_Gezahegne_Abera_ETH,1,gold,discipline=Marathon;performance=2:12:42 (SB);country=ETH,3.0
world_athletics_championships_2001_men_marathon,athlete_Simon_Biwott_KEN,2,silver,discipline=Marathon;performance=2:12:43;country=KEN,2.0
world_athletics_championships_2001_men_marathon,athlete_Stefano_Baldini_ITA,3,bronze,discipline=Marathon;performance=2:13:18;country=ITA,1.0
world_athletics_championships_2001_men_pole-vault,athlete_Aleksandr_Averbukh_ISR,2,silver,discipline=Pole vault;performance=5.85;country=ISR,2.0
world_athletics_championships_2001_men_pole-vault,athlete_Dmitri_Markov_AUS,1,gold,discipline=Pole vault;performance=6.05 ( CR );country=AUS,3.0
world_athletics_championships_2001_men_pole-vault,athlete_Nick_Hysong_USA,3,bronze,discipline=Pole vault;performance=5.85 (SB);country=USA,1.0
world_athletics_championships_2001_men_shot-put,athlete_Adam_Nelson_USA,2,silver,discipline=Shot put;performance=21.24;country=USA,2.0
world_athletics_championships_2001_men_shot-put,athlete_Arsi_Harju_FIN,3,bronze,discipline=Shot put;performance=20.93 (SB);country=FIN,1.0
world_athletics_championships_2001_men_shot-put,athlete_John_Godina_USA,1,gold,discipline=Shot put;performance=21.87;country=USA,3.0
world_athletics_championships_2001_men_triple-jump,athlete_Christian_Olsson_SWE,2,silver,discipline=Triple jump;performance=17.47;country=SWE,2.0
world_athletics_championships_2001_men_triple-jump,athlete_Jonathan_Edwards_GBR,1,gold,discipline=Triple jump;performance=17.92 (WL);country=GBR,3.0
world_athletics_championships_2001_women_10-000-m,athlete_Berhane_Adere_ETH,2,silver,"discipline=10,000 m;performance=31:48.85;country=ETH",2.0
world_athletics_championships_2001_women_10-000-m,athlete_Derartu_Tulu_ETH,1,gold,"discipline=10,000 m;performance=31:48.81;country=ETH",3.0
world_athletics_championships_2001_women_10-000-m,athlete_Gete_Wami_ETH,3,bronze,"discipline=10,000 m;performance=31:49.98;country=ETH",1.0
world_athletics_championships_2001_women_100-m,athlete_Chandra_Sturrup_BHS,3,bronze,discipline=100 m;performance=11.02;country=BHS,1.0
world_athletics_championships_2001_women_100-m,athlete_Ekaterini_Thanou_GRC,2,silver,discipline=100 m;performance=10.91 2 (SB);country=GRC,2.0
world_athletics_championships_2001_women_100-m,athlete_Zhanna_Pintusevich_UKR,1,gold,discipline=100 m;performance=10.82 (WL);country=UKR,3.0
world_athletics_championships_2001_women_100-m-hurdles,athlete_Anjanette_Kirkland_USA,1,gold,discipline=100 m hurdles;performance=12.42 (WL);country=USA,3.0
world_athletics_championships_2001_women_100-m-hurdles,athlete_Gail_Devers_USA,2,silver,discipline=100 m hurdles;performance=12.54 SB;country=USA,2.0
world_athletics_championships_2001_women_100-m-hurdles,athlete_Olga_Shishigina_KAZ,3,bronze,discipline=100 m hurdles;performance=12.58 (SB);country=KAZ,1.0
world_athletics_championships_2001_women_1500-m,athlete_Gabriela_Szabo_ROU,1,gold,discipline=1500 m;performance=4:00.57 (SB);country=ROU,3.0
world_athletics_championships_2001_women_1500-m,athlete_Violeta_Szekely_ROU,2,silver,discipline=1500 m;performance=4:01.70;country=ROU,2.0
world_athletics_championships_2001_women_20-km-walk,athlete_Elisabetta_Perrone_ITA,3,bronze,discipline=20 km walk;performance=1:28:56;country=ITA,1.0
world_athletics_championships_2001_women_20-km-walk,athlete_Valentina_Tsybulskaya_BLR,2,silver,discipline=20 km walk;performance=1:28:49 (PB);country=BLR,2.0
world_athletics_championships_2001_women_200-m,athlete_Cydonie_Mothersille_CYM,3,bronze,discipline=200 m;performance=22.88 2;country=CYM,1.0
world_athletics_championships_2001_women_200-m,athlete_Debbie_Ferguson_BHS,1,gold,discipline=200 m;performance=22.52 1;country=BHS,3.0
world_athletics_championships_2001_women_200-m,athlete_LaTasha_Jenkins_USA,2,silver,discipline=200 m;performance=22.85;country=USA,2.0
world_athletics_championships_2001_women_4-100-m-relay,DEU,1,gold,discipline=4 × 100 m relay;performance=42.32 3 (SB);country=DEU,3.0
world_athletics_championships_2001_women_4-100-m-relay,FRA,2,silver,discipline=4 × 100 m relay;performance=42.39 (SB);country=FRA,2.0
world_athletics_championships_2001_women_4-100-m-relay,JAM,3,bronze,discipline=4 × 100 m relay;performance=42.40 (SB);country=JAM,1.0
world_athletics_championships_2001_women_4-400-m-relay,DEU,2,silver,discipline=4 × 400 m relay;performance=3:21.97 (SB);country=DEU,2.0
world_athletics_championships_2001_women_4-400-m-relay,JAM,1,gold,discipline=4 × 400 m relay;performance=3:20.65 (WL);country=JAM,3.0
world_athletics_championships_2001_women_400-m,athlete_Amy_Mbacké_Thiam_SEN,1,gold,discipline=400 m;performance=49.86 (NR);country=SEN,3.0
world_athletics_championships_2001_women_400-m,athlete_Ana_Guevara_MEX,3,bronze,discipline=400 m;performance=49.97 SB;country=MEX,1.0
world_athletics_championships_2001_women_400-m,athlete_Lorraine_Fenton_JAM,2,silver,discipline=400 m;performance=49.88 (SB);country=JAM,2.0
world_athletics_championships_2001_women_400-m-hurdles,athlete_Daimí_Pernía_CUB,3,bronze,discipline=400 m hurdles;performance=54.51;country=CUB,1.0
world_athletics_championships_2001_women_400-m-hurdles,athlete_Nezha_Bidouane_MAR,1,gold,discipline=400 m hurdles;performance=53.34 (WL);country=MAR,3.0
world_athletics_championships_2001_women_5000-m,athlete_Ayelech_Worku_ETH,3,bronze,discipline=5000 m;performance=15:10.17;country=ETH,1.0
