event_id,participant_id,rank,medal,score_raw,points_awarded
world_triathlon_championship_series_2013_women,triathlon_athlete_Non_Stanford_GBR,1,gold,points=4220;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2013_ITU_World_Triathlon_Series,10.0
world_triathlon_championship_series_2013_women,triathlon_athlete_Jodie_Stimpson_GBR,2,silver,points=3805;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2013_ITU_World_Triathlon_Series,7.0
world_triathlon_championship_series_2013_women,triathlon_athlete_Anne_Haug_DEU,3,bronze,points=3110;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2013_ITU_World_Triathlon_Series,5.0
world_triathlon_championship_series_2014_men,triathlon_athlete_Javier_Gomez_ESP,1,gold,points=4860;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2014_ITU_World_Triathlon_Series,10.0
world_triathlon_championship_series_2014_men,triathlon_athlete_Mario_Mola_ESP,2,silver,points=4601;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2014_ITU_World_Triathlon_Series,7.0
world_triathlon_championship_series_2014_men,triathlon_athlete_Jonathan_Brownlee_GBR,3,bronze,points=4501;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2014_ITU_World_Triathlon_Series,5.0
world_triathlon_championship_series_2014_women,triathlon_athlete_Gwen_Jorgensen_USA,1,gold,points=5085;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2014_ITU_World_Triathlon_Series,10.0
world_triathlon_championship_series_2014_women,triathlon_athlete_Sarah_Groff_USA,2,silver,points=3987;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2014_ITU_World_Triathlon_Series,7.0
world_triathlon_championship_series_2014_women,triathlon_athlete_Andrea_Hewitt_NZL,3,bronze,points=3845;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2014_ITU_World_Triathlon_Series,5.0
world_triathlon_championship_series_2015_men,triathlon_athlete_Javier_Gomez_ESP,1,gold,points=4930;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2015_ITU_World_Triathlon_Series,10.0
world_triathlon_championship_series_2015_men,triathlon_athlete_Mario_Mola_ESP,2,silver,points=4794;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2015_ITU_World_Triathlon_Series,7.0
world_triathlon_championship_series_2015_men,triathlon_athlete_Vincent_Luis_FRA,3,bronze,points=4421;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2015_ITU_World_Triathlon_Series,5.0
world_triathlon_championship_series_2015_women,triathlon_athlete_Gwen_Jorgensen_USA,1,gold,points=5200;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2015_ITU_World_Triathlon_Series,10.0
world_triathlon_championship_series_2015_women,triathlon_athlete_Andrea_Hewitt_NZL,2,silver,points=4079;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2015_ITU_World_Triathlon_Series,7.0
world_triathlon_championship_series_2015_women,triathlon_athlete_Sarah_True_USA,3,bronze,points=4073;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2015_ITU_World_Triathlon_Series,5.0
world_triathlon_championship_series_2016_men,triathlon_athlete_Mario_Mola_ESP,1,gold,points=4819;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2016_ITU_World_Triathlon_Series,10.0
world_triathlon_championship_series_2016_men,triathlon_athlete_Jonathan_Brownlee_GBR,2,silver,points=4815;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2016_ITU_World_Triathlon_Series,7.0
world_triathlon_championship_series_2016_men,triathlon_athlete_Fernando_Alarza_ESP,3,bronze,points=4087;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2016_ITU_World_Triathlon_Series,5.0
world_triathlon_championship_series_2016_women,triathlon_athlete_Flora_Duffy_BMU,1,gold,points=4691;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2016_ITU_World_Triathlon_Series,10.0
