year,rank,country_name,event_date
2009,1,Australia,2009-12-31
2009,2,New Zealand,2009-12-31
2009,3,United States,2009-12-31
2009,4,South Africa,2009-12-31
2013,1,New Zealand,2013-12-31
2013,2,Canada,2013-12-31
2013,3,United States,2013-12-31
2013,4,Spain,2013-12-31
2018,1,New Zealand,2018-12-31
2018,2,France,2018-12-31
2018,3,Australia,2018-12-31
2018,4,United States,2018-12-31
2022,1,Australia,2022-12-31
2022,2,New Zealand,2022-12-31
2022,3,France,2022-12-31
2022,4,United States,2022-12-31
