competition_id,competition_name,year,event_date,discipline_key,discipline_name,gender,rank,participant_type,participant_ref,participant_name,country_code,country_name,nationality,points,wins,team_name,round,season_label,source_url
formulae_drivers_world_championship,Formula E Drivers' Championship,2017,2017-12-31,formula-e,Formula E,mixed,3,athlete,,Felix Rosenqvist,,,,127.0,,,,2016-2017,https://en.wikipedia.org/wiki/2016%E2%80%9317_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2017,2017-12-31,formula-e,Formula E,mixed,4,athlete,,Sam Bird,,,,122.0,,,,2016-2017,https://en.wikipedia.org/wiki/2016%E2%80%9317_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2017,2017-12-31,formula-e,Formula E,mixed,5,athlete,,Jean-Éric Vergne,,,,117.0,,,,2016-2017,https://en.wikipedia.org/wiki/2016%E2%80%9317_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2017,2017-12-31,formula-e,Formula E,mixed,6,athlete,,Nico Prost,,,,93.0,,,,2016-2017,https://en.wikipedia.org/wiki/2016%E2%80%9317_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2017,2017-12-31,formula-e,Formula E,mixed,7,athlete,,Nick Heidfeld,,,,88.0,,,,2016-2017,https://en.wikipedia.org/wiki/2016%E2%80%9317_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2017,2017-12-31,formula-e,Formula E,mixed,8,athlete,,Daniel Abt,,,,67.0,,,,2016-2017,https://en.wikipedia.org/wiki/2016%E2%80%9317_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2017,2017-12-31,formula-e,Formula E,mixed,9,athlete,,José María López,,,,65.0,,,,2016-2017,https://en.wikipedia.org/wiki/2016%E2%80%9317_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2017,2017-12-31,formula-e,Formula E,mixed,10,athlete,,Stéphane Sarrazin,,,,36.0,,,,2016-2017,https://en.wikipedia.org/wiki/2016%E2%80%9317_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2018,2018-12-31,formula-e,Formula E,mixed,1,athlete,,Jean-Éric Vergne,,,,198.0,,,,2017-2018,https://en.wikipedia.org/wiki/2017%E2%80%9318_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2018,2018-12-31,formula-e,Formula E,mixed,2,athlete,,Lucas di Grassi,,,,144.0,,,,2017-2018,https://en.wikipedia.org/wiki/2017%E2%80%9318_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2018,2018-12-31,formula-e,Formula E,mixed,3,athlete,,Sam Bird,,,,143.0,,,,2017-2018,https://en.wikipedia.org/wiki/2017%E2%80%9318_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2018,2018-12-31,formula-e,Formula E,mixed,4,athlete,,Sébastien Buemi,,,,125.0,,,,2017-2018,https://en.wikipedia.org/wiki/2017%E2%80%9318_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2018,2018-12-31,formula-e,Formula E,mixed,5,athlete,,Daniel Abt,,,,120.0,,,,2017-2018,https://en.wikipedia.org/wiki/2017%E2%80%9318_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2018,2018-12-31,formula-e,Formula E,mixed,6,athlete,,Felix Rosenqvist,,,,96.0,,,,2017-2018,https://en.wikipedia.org/wiki/2017%E2%80%9318_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2018,2018-12-31,formula-e,Formula E,mixed,7,athlete,,Mitch Evans,,,,68.0,,,,2017-2018,https://en.wikipedia.org/wiki/2017%E2%80%9318_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2018,2018-12-31,formula-e,Formula E,mixed,8,athlete,,André Lotterer,,,,64.0,,,,2017-2018,https://en.wikipedia.org/wiki/2017%E2%80%9318_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2018,2018-12-31,formula-e,Formula E,mixed,9,athlete,,Nelson Piquet Jr.,,,,51.0,,,,2017-2018,https://en.wikipedia.org/wiki/2017%E2%80%9318_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2018,2018-12-31,formula-e,Formula E,mixed,10,athlete,,Oliver Turvey,,,,46.0,,,,2017-2018,https://en.wikipedia.org/wiki/2017%E2%80%9318_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2019,2019-12-31,formula-e,Formula E,mixed,1,athlete,,Jean-Éric Vergne,,,,136.0,,,,2018-2019,https://en.wikipedia.org/wiki/2018%E2%80%9319_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2019,2019-12-31,formula-e,Formula E,mixed,2,athlete,,Sébastien Buemi,,,,119.0,,,,2018-2019,https://en.wikipedia.org/wiki/2018%E2%80%9319_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2019,2019-12-31,formula-e,Formula E,mixed,3,athlete,,Lucas di Grassi,,,,108.0,,,,2018-2019,https://en.wikipedia.org/wiki/2018%E2%80%9319_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2019,2019-12-31,formula-e,Formula E,mixed,4,athlete,,Robin Frijns,,,,106.0,,,,2018-2019,https://en.wikipedia.org/wiki/2018%E2%80%9319_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2019,2019-12-31,formula-e,Formula E,mixed,5,athlete,,Mitch Evans,,,,105.0,,,,2018-2019,https://en.wikipedia.org/wiki/2018%E2%80%9319_Formula_E_Championship
formulae_drivers_world_championship,Formula E Drivers' Championship,2019,2019-12-31,formula-e,Formula E,mixed,6,athlete,,António Félix da Costa,,,,99.0,,,,2018-2019,https://en.wikipedia.org/wiki/2018%E2%80%9319_Formula_E_Championship
