competition_id,competition_name,year,event_date,discipline_key,discipline_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2001,2001-12-31,field-lacrosse,Field lacrosse,women,1,gold,team,United States,United States,USA,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2001,2001-12-31,field-lacrosse,Field lacrosse,women,2,silver,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2001,2001-12-31,field-lacrosse,Field lacrosse,women,3,bronze,team,England,England,ENG,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2001,2001-12-31,field-lacrosse,Field lacrosse,women,4,,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2005,2005-12-31,field-lacrosse,Field lacrosse,women,1,gold,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2005,2005-12-31,field-lacrosse,Field lacrosse,women,2,silver,team,United States,United States,USA,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2005,2005-12-31,field-lacrosse,Field lacrosse,women,3,bronze,team,England,England,ENG,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2005,2005-12-31,field-lacrosse,Field lacrosse,women,4,,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2009,2009-12-31,field-lacrosse,Field lacrosse,women,1,gold,team,United States,United States,USA,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2009,2009-12-31,field-lacrosse,Field lacrosse,women,2,silver,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2009,2009-12-31,field-lacrosse,Field lacrosse,women,3,bronze,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2009,2009-12-31,field-lacrosse,Field lacrosse,women,4,,team,England,England,ENG,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2013,2013-12-31,field-lacrosse,Field lacrosse,women,1,gold,team,United States,United States,USA,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2013,2013-12-31,field-lacrosse,Field lacrosse,women,2,silver,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2013,2013-12-31,field-lacrosse,Field lacrosse,women,3,bronze,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2013,2013-12-31,field-lacrosse,Field lacrosse,women,4,,team,England,England,ENG,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2017,2017-12-31,field-lacrosse,Field lacrosse,women,1,gold,team,United States,United States,USA,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2017,2017-12-31,field-lacrosse,Field lacrosse,women,2,silver,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2017,2017-12-31,field-lacrosse,Field lacrosse,women,3,bronze,team,England,England,ENG,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2017,2017-12-31,field-lacrosse,Field lacrosse,women,4,,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2022,2022-12-31,field-lacrosse,Field lacrosse,women,1,gold,team,United States,United States,USA,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2022,2022-12-31,field-lacrosse,Field lacrosse,women,2,silver,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2022,2022-12-31,field-lacrosse,Field lacrosse,women,3,bronze,team,England,England,ENG,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2022,2022-12-31,field-lacrosse,Field lacrosse,women,4,,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2026,2026-12-31,field-lacrosse,Field lacrosse,women,1,gold,team,United States,United States,USA,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2026,2026-12-31,field-lacrosse,Field lacrosse,women,2,silver,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2026,2026-12-31,field-lacrosse,Field lacrosse,women,3,bronze,team,Israel,Israel,ISR,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
world_lacrosse_womens_world_cup,Women's Lacrosse World Cup,2026,2026-12-31,field-lacrosse,Field lacrosse,women,4,,team,Haudenosaunee,Haudenosaunee,HAU,https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship
