competition_id,competition_name,year,event_date,discipline_key,discipline_name,weight_class,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Light heavyweight,Light heavyweight,women,1,gold,athlete,Martine Dugrenier,Canada,CAN,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Light heavyweight,Light heavyweight,women,2,silver,athlete,Yulia Bartnovskaya,Russian Federation,RUS,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Light heavyweight,Light heavyweight,women,3,bronze,athlete,Badrakhyn Odonchimeg,MGL,MGL,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Light heavyweight,Light heavyweight,women,3,bronze,athlete,Ifeoma Iheanacho,NGR,NGR,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Lightweight,Lightweight,women,1,gold,athlete,Saori Yoshida,Japan,JPN,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Lightweight,Lightweight,women,2,silver,athlete,Sona Ahmadli,Azerbaijan,AZE,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Lightweight,Lightweight,women,3,bronze,athlete,Alena Filipava,Belarus,BLR,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Lightweight,Lightweight,women,3,bronze,athlete,Tonya Verbeek,Canada,CAN,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Middleweight,Middleweight,women,1,gold,athlete,Mio Nishimaki,Japan,JPN,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Middleweight,Middleweight,women,2,silver,athlete,Lubov Volosova,Russian Federation,RUS,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Middleweight,Middleweight,women,3,bronze,athlete,Justine Bouchard,Canada,CAN,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Middleweight,Middleweight,women,3,bronze,athlete,Yelena Shalygina,Kazakhstan,KAZ,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Welterweight,Welterweight,women,1,gold,athlete,Yuliya Ratkevich,Azerbaijan,AZE,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Welterweight,Welterweight,women,2,silver,athlete,Agata Pietrzyk,Poland,POL,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
