competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_key,event_name,gender,event_label,rank,medal,participant_type,participant_name,country_name,country_code,team_members,source_url
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,individual-20-km,Biathlon World Championships Men Individual (20 km),men,Individual (20 km),1,gold,athlete,Paavo Puurunen,Finland,FIN,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,individual-20-km,Biathlon World Championships Men Individual (20 km),men,Individual (20 km),2,silver,athlete,Vadim Sashurin,Belarus,BLR,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,individual-20-km,Biathlon World Championships Men Individual (20 km),men,Individual (20 km),3,bronze,athlete,Ilmārs Bricis,Latvia,LAT,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,mass-start-15-km,Biathlon World Championships Men Mass start (15 km),men,Mass start (15 km),1,gold,athlete,Raphaël Poirée,France,FRA,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,mass-start-15-km,Biathlon World Championships Men Mass start (15 km),men,Mass start (15 km),2,silver,athlete,Ole Einar Bjørndalen,Norway,NOR,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,mass-start-15-km,Biathlon World Championships Men Mass start (15 km),men,Mass start (15 km),3,bronze,athlete,Sven Fischer,Germany,GER,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,pursuit-12-5-km,Biathlon World Championships Men Pursuit (12.5 km),men,Pursuit (12.5 km),1,gold,athlete,Pavel Rostovtsev,Russia,RUS,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,pursuit-12-5-km,Biathlon World Championships Men Pursuit (12.5 km),men,Pursuit (12.5 km),2,silver,athlete,Raphaël Poirée,France,FRA,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,pursuit-12-5-km,Biathlon World Championships Men Pursuit (12.5 km),men,Pursuit (12.5 km),3,bronze,athlete,Sven Fischer,Germany,GER,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,relay-4-7-5-km,Biathlon World Championships Men Relay (4 × 7.5 km),men,Relay (4 × 7.5 km),1,gold,team,France,France,FRA,Gilles Marguet / Vincent Defrasne / Julien Robert / Raphaël Poirée,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,relay-4-7-5-km,Biathlon World Championships Men Relay (4 × 7.5 km),men,Relay (4 × 7.5 km),2,silver,team,Belarus,Belarus,BLR,Alexei Aidarov / Alexander Syman / Oleg Ryzhenkov / Vadim Sashurin,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,relay-4-7-5-km,Biathlon World Championships Men Relay (4 × 7.5 km),men,Relay (4 × 7.5 km),3,bronze,team,Norway,Norway,NOR,Egil Gjelland / Frode Andresen / Halvard Hanevold / Ole Einar Bjørndalen,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,sprint-10-km,Biathlon World Championships Men Sprint (10 km),men,Sprint (10 km),1,gold,athlete,Pavel Rostovtsev,Russia,RUS,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,sprint-10-km,Biathlon World Championships Men Sprint (10 km),men,Sprint (10 km),2,silver,athlete,René Cattarinussi,Italy,ITA,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,sprint-10-km,Biathlon World Championships Men Sprint (10 km),men,Sprint (10 km),3,bronze,athlete,Halvard Hanevold,Norway,NOR,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,individual-15-km,Biathlon World Championships Women Individual (15 km),women,Individual (15 km),1,gold,athlete,Magdalena Forsberg,Sweden,SWE,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,individual-15-km,Biathlon World Championships Women Individual (15 km),women,Individual (15 km),2,silver,athlete,Liv Grete Poirée,Norway,NOR,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,individual-15-km,Biathlon World Championships Women Individual (15 km),women,Individual (15 km),3,bronze,athlete,Olena Zubrilova,Ukraine,UKR,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,mass-start-12-5-km,Biathlon World Championships Women Mass start (12.5 km),women,Mass start (12.5 km),1,gold,athlete,Magdalena Forsberg,Sweden,SWE,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,mass-start-12-5-km,Biathlon World Championships Women Mass start (12.5 km),women,Mass start (12.5 km),2,silver,athlete,Martina Glagow,Germany,GER,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,mass-start-12-5-km,Biathlon World Championships Women Mass start (12.5 km),women,Mass start (12.5 km),3,bronze,athlete,Liv Grete Poirée,Norway,NOR,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,pursuit-10-km,Biathlon World Championships Women Pursuit (10 km),women,Pursuit (10 km),1,gold,athlete,Liv Grete Poirée,Norway,NOR,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
biathlon_world_championships,Biathlon World Championships,2001,2001-12-31,biathlon,Biathlon,pursuit-10-km,Biathlon World Championships Women Pursuit (10 km),women,Pursuit (10 km),2,silver,athlete,Corinne Niogret,France,FRA,,https://en.wikipedia.org/wiki/Biathlon_World_Championships
