competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_key,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,team_members,source_url
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,18-km-17-km-and-15-km-discontinued,"18 km, 17 km and 15 km (discontinued)",men,1,gold,athlete,Per Elofsson,Sweden,SWE,,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,18-km-17-km-and-15-km-discontinued,"18 km, 17 km and 15 km (discontinued)",men,2,silver,athlete,Mathias Fredriksson,Sweden,SWE,,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,18-km-17-km-and-15-km-discontinued,"18 km, 17 km and 15 km (discontinued)",men,3,bronze,athlete,Odd-Bjørn Hjelmeset,Norway,NOR,,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,30-km-discontinued,30 km (discontinued),men,1,gold,athlete,Andrus Veerpalu,Estonia,EST,,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,30-km-discontinued,30 km (discontinued),men,2,silver,athlete,Frode Estil,Norway,NOR,,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,30-km-discontinued,30 km (discontinued),men,3,bronze,athlete,Mikhail Ivanov,Russia,RUS,,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,4-10-7-5-km-relay,4 × 10/7.5 km relay,men,1,gold,team,Norway,Norway,NOR,Frode Estil; Odd-Bjørn Hjelmeset; Thomas Alsgaard; Tor Arne Hetland,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,4-10-7-5-km-relay,4 × 10/7.5 km relay,men,2,silver,team,Sweden,Sweden,SWE,Urban Lindgren; Mathias Fredriksson; Magnus Ingesson; Per Elofsson,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,4-10-7-5-km-relay,4 × 10/7.5 km relay,men,3,bronze,team,Germany,Germany,DEU,Jens Filbrich; Andreas Schlütter; Ron Spanuth; René Sommerfeldt,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,50-km,50 km,men,1,gold,athlete,Johann Mühlegg,Spain,ESP,,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,50-km,50 km,men,2,silver,athlete,René Sommerfeldt,Germany,DEU,,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,50-km,50 km,men,3,bronze,athlete,Sergey Kriyanin,Russia,RUS,,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,combined-double-pursuit-skiathlon,Combined/double pursuit/Skiathlon,men,1,gold,athlete,Per Elofsson,Sweden,SWE,,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,combined-double-pursuit-skiathlon,Combined/double pursuit/Skiathlon,men,2,silver,athlete,Johann Mühlegg,Spain,ESP,,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
fis_nordic_world_ski_championships,FIS Nordic World Ski Championships,2001,2001-12-31,cross-country-skiing,Cross-country skiing,combined-double-pursuit-skiathlon,Combined/double pursuit/Skiathlon,men,3,bronze,athlete,Vitaly Denisov,Russia,RUS,,https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001
