event_id,participant_id,rank,medal,score_raw,points_awarded
icf_canoe_slalom_world_championships_2002_slalom_men_k1-team,team_Pierpaolo_Ferrazzi__Matteo_Pontarollo__Luca_Costa_ITA,2,silver,event_name=K1 team;athletes=Pierpaolo Ferrazzi / Matteo Pontarollo / Luca Costa;country=ITA;score=216.64;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2002_slalom_men_k1-team,team_Thomas_Monier__Benoît_Peschier__Fabien_Lefèvre_FRA,3,bronze,event_name=K1 team;athletes=Thomas Monier / Benoît Peschier / Fabien Lefèvre;country=FRA;score=218.25;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2002_slalom_women_k1,athlete_Cristina_Giai_Pron_ITA,3,bronze,event_name=K1;athletes=Cristina Giai Pron;country=ITA;score=222.46;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2002_slalom_women_k1,athlete_Mandy_Planert_DEU,2,silver,event_name=K1;athletes=Mandy Planert;country=DEU;score=218.11;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2002_slalom_women_k1,athlete_Rebecca_Giddens_USA,1,gold,event_name=K1;athletes=Rebecca Giddens;country=USA;score=216.09;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2002_slalom_women_k1-team,team_Aline_Tornare__Mathilde_Pichery__Anne-Lise_Bardet_FRA,1,gold,event_name=K1 team;athletes=Aline Tornare / Mathilde Pichery / Anne-Lise Bardet;country=FRA;score=294.73;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2002_slalom_women_k1-team,team_Helen_Reeves__Laura_Blakeman__Heather_Corrie_GBR,3,bronze,event_name=K1 team;athletes=Helen Reeves / Laura Blakeman / Heather Corrie;country=GBR;score=306.24;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2002_slalom_women_k1-team,team_Marie_ihoková__Marcela_Sadilová__Irena_Pavelková_CZE,2,silver,event_name=K1 team;athletes=Marie Řihošková / Marcela Sadilová / Irena Pavelková;country=CZE;score=298.78;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2003_slalom_men_c1,athlete_Michal_Martikán_SVK,1,gold,event_name=C1;athletes=Michal Martikán;country=SVK;score=208.14;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2003_slalom_men_c1,athlete_Stefan_Pfannmöller_DEU,3,bronze,event_name=C1;athletes=Stefan Pfannmöller;country=DEU;score=212.69;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2003_slalom_men_c1,athlete_Tony_Estanguet_FRA,2,silver,event_name=C1;athletes=Tony Estanguet;country=FRA;score=209.52;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2003_slalom_men_c1-team,team_Alexander_Slafkovský__Juraj_Miník__Michal_Martikán_SVK,1,gold,event_name=C1 team;athletes=Alexander Slafkovský / Juraj Minčík / Michal Martikán;country=SVK;score=212.24;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2003_slalom_men_c1-team,team_Tomá_Indruch__Jan_Maek__Stanislav_Jeek_CZE,3,bronze,event_name=C1 team;athletes=Tomáš Indruch / Jan Mašek / Stanislav Ježek;country=CZE;score=214.41;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2003_slalom_men_c1-team,team_Tony_Estanguet__Emmanuel_Brugvin__Patrice_Estanguet_FRA,2,silver,event_name=C1 team;athletes=Tony Estanguet / Emmanuel Brugvin / Patrice Estanguet;country=FRA;score=213.92;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2003_slalom_men_c2,team_Jaroslav_Volf__Ondej_tpánek_CZE,2,silver,event_name=C2;athletes=Jaroslav Volf / Ondřej Štěpánek;country=CZE;score=221.66;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2003_slalom_men_c2,team_Marcus_Becker__Stefan_Henze_DEU,1,gold,event_name=C2;athletes=Marcus Becker / Stefan Henze;country=DEU;score=214.52;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2003_slalom_men_c2,team_Pavol_Hochschorner__Peter_Hochschorner_SVK,3,bronze,event_name=C2;athletes=Pavol Hochschorner / Peter Hochschorner;country=SVK;score=225.17;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2003_slalom_men_c2-team,team_Andrzej_Wójs__Sawomir_Mordarski__Jarosaw_Miczek__Wojciech_Sekua__Marcin_Pochwaa__Pawe_Sarna_POL,3,bronze,event_name=C2 team;athletes=Andrzej Wójs / Sławomir Mordarski / Jarosław Miczek / Wojciech Sekuła / Marcin Pochwała / Paweł Sarna;country=POL;score=256.24;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2003_slalom_men_c2-team,team_Jaroslav_Volf__Ondej_tpánek__Jaroslav_Pospíil__Jaroslav_Pollert__Marek_Jiras__Tomá_Máder_CZE,1,gold,event_name=C2 team;athletes=Jaroslav Volf / Ondřej Štěpánek / Jaroslav Pospíšil / Jaroslav Pollert / Marek Jiras / Tomáš Máder;country=CZE;score=234.99;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2003_slalom_men_c2-team,team_Marcus_Becker__Stefan_Henze__André_Ehrenberg__Michael_Senft__Kay_Simon__Robby_Simon_DEU,2,silver,event_name=C2 team;athletes=Marcus Becker / Stefan Henze / André Ehrenberg / Michael Senft / Kay Simon / Robby Simon;country=DEU;score=237.74;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2003_slalom_men_k1,athlete_David_Ford_CAN,2,silver,event_name=K1;athletes=David Ford;country=CAN;score=199.69;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2003_slalom_men_k1,athlete_Fabien_Lefèvre_FRA,1,gold,event_name=K1;athletes=Fabien Lefèvre;country=FRA;score=197.88;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2003_slalom_men_k1,athlete_Helmut_Oblinger_AUT,3,bronze,event_name=K1;athletes=Helmut Oblinger;country=AUT;score=199.70;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2003_slalom_men_k1-team,team_David_Backhouse__Floris_Braat__Sam_Oud_NLD,2,silver,event_name=K1 team;athletes=David Backhouse / Floris Braat / Sam Oud;country=NLD;score=213.80;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2003_slalom_men_k1-team,team_Thilo_Schmitt__Thomas_Schmidt__Claus_Suchanek_DEU,3,bronze,event_name=K1 team;athletes=Thilo Schmitt / Thomas Schmidt / Claus Suchanek;country=DEU;score=216.17;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,5.0
