participant_id,type,display_name,country_id
team_Christian_Bahmann__Michael_Senft__Kay_Simon__Robby_Simon__Marcus_Becker__Stefan_Henze_DEU,team,Christian Bahmann / Michael Senft / Kay Simon / Robby Simon / Marcus Becker / Stefan Henze,DEU
team_Jaroslav_Pospíil__Jaroslav_Pollert__Marek_Jiras__Tomá_Máder__Jaroslav_Volf__Ondej_tpánek_CZE,team,Jaroslav Pospíšil / Jaroslav Pollert / Marek Jiras / Tomáš Máder / Jaroslav Volf / Ondřej Štěpánek,CZE
team_Remy_Alonso__Victor_Lamy__Philippe_Quémerais__Yann_Le_Pennec__Cédric_Forgit__Martin_Braud_FRA,team,Remy Alonso / Victor Lamy / Philippe Quémerais / Yann Le Pennec / Cédric Forgit / Martin Braud,FRA
athlete_Fabian_Dörfler_DEU,athlete,Fabian Dörfler,DEU
athlete_Peter_Cibák_SVK,athlete,Peter Cibák,SVK
team_Julien_Billaut__Fabien_Lefèvre__Benoît_Peschier_FRA,team,Julien Billaut / Fabien Lefèvre / Benoît Peschier,FRA
team_Pierpaolo_Ferrazzi__Matteo_Pontarollo__Daniele_Molmenti_ITA,team,Pierpaolo Ferrazzi / Matteo Pontarollo / Daniele Molmenti,ITA
team_Andrej_Nolimal__Dejan_Kralj__Peter_Kauzer_SVN,team,Andrej Nolimal / Dejan Kralj / Peter Kauzer,SVN
athlete_Elena_Kaliská_SVK,athlete,Elena Kaliská,SVK
athlete_Peggy_Dickens_FRA,athlete,Peggy Dickens,FRA
team_Irena_Pavelková__Marcela_Sadilová__tpánka_Hilgertová_CZE,team,Irena Pavelková / Marcela Sadilová / Štěpánka Hilgertová,CZE
team_Heather_Corrie__Kimberley_Walsh__Laura_Blakeman_GBR,team,Heather Corrie / Kimberley Walsh / Laura Blakeman,GBR
team_Julia_Schmid__Corinna_Kuhnle__Violetta_Oblinger-Peters_AUT,team,Julia Schmid / Corinna Kuhnle / Violetta Oblinger-Peters,AUT
athlete_Stanislav_Jeek_CZE,athlete,Stanislav Ježek,CZE
team_Stefan_Pfannmöller__Nico_Bettge__Jan_Benzien_DEU,team,Stefan Pfannmöller / Nico Bettge / Jan Benzien,DEU
team_David_Florence__Stuart_McIntosh__Daniel_Goddard_GBR,team,David Florence / Stuart McIntosh / Daniel Goddard,GBR
team_Marek_Jiras__Tomá_Máder__Jaroslav_Volf__Ondej_tpánek__Jaroslav_Pospíil__Jaroslav_Pollert_CZE,team,Marek Jiras / Tomáš Máder / Jaroslav Volf / Ondřej Štěpánek / Jaroslav Pospíšil / Jaroslav Pollert,CZE
team_Marcus_Becker__Stefan_Henze__Felix_Michel__Sebastian_Piersig__Kay_Simon__Robby_Simon_DEU,team,Marcus Becker / Stefan Henze / Felix Michel / Sebastian Piersig / Kay Simon / Robby Simon,DEU
