year,event_date,gender,discipline_name,event_name,rank,medal,participant_type,athlete_name,country_name,country_code,performance,source_url
2001,2001-01-01,women,diving,Women's 3 m springboard,2,silver,athlete,Irina Lashko,Australia,AUS,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,diving,Women's 3 m springboard,3,bronze,athlete,Yuliya Pakhalina,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,diving,Women's 3 m springboard synchro,1,gold,team,,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,diving,Women's 3 m springboard synchro,2,silver,team,,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,diving,Women's 3 m springboard synchro,3,bronze,team,,GER,GER,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,open water swimming,Men's 10 km,1,gold,athlete,Yevgeny Bezruchenko,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,open water swimming,Men's 10 km,2,silver,athlete,Vladimir Dyatchin,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,open water swimming,Men's 10 km,3,bronze,athlete,Fabio Venturini,Italy,ITA,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,open water swimming,Men's 25 km,1,gold,athlete,Yuri Kudinov,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,open water swimming,Men's 25 km,2,silver,athlete,Stéphane Gomez,France,FRA,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,open water swimming,Men's 25 km,3,bronze,athlete,Stéphane Lecat,France,FRA,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,open water swimming,Men's 5 km,1,gold,athlete,Luca Baldini,Italy,ITA,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,open water swimming,Men's 5 km,2,silver,athlete,Yevgeny Bezruchenko,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,open water swimming,Men's 5 km,3,bronze,athlete,Marco Formentini,Italy,ITA,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
