year,event_date,gender,discipline_name,event_name,rank,medal,participant_type,athlete_name,country_name,country_code,performance,source_url
2007,2007-01-01,women,swimming,Women's 4 × 200 m freestyle relay,2,silver,team,,Germany,DEU,7:53.82,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 4 × 200 m freestyle relay,3,bronze,team,,France,FRA,7:55.96 NR,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 400 m freestyle,1,gold,athlete,Laure Manaudou,France,FRA,4:02.61 CR,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 400 m freestyle,2,silver,athlete,Otylia Jędrzejczak,Poland,POL,4:04.23 NR,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 400 m freestyle,3,bronze,athlete,Ai Shibata,Japan,JPN,4:05.19 AS,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 400 m individual medley,3,bronze,athlete,Stephanie Rice,Australia,AUS,4:41.19,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 50 m backstroke,2,silver,athlete,Aleksandra Gerasimenya,Belarus,BLR,28.46,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 50 m backstroke,3,bronze,athlete,Tayliah Zimmer,Australia,AUS,28.50,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 50 m breaststroke,2,silver,athlete,Leisel Jones,Australia,AUS,30.70,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 50 m butterfly,1,gold,athlete,Therese Alshammar,Sweden,SWE,25.91,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 50 m butterfly,2,silver,athlete,Danni Miatke,Australia,AUS,26.05 OC,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 50 m butterfly,3,bronze,athlete,Inge Dekker,Netherlands,NLD,26.11,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 50 m freestyle,1,gold,athlete,Libby Lenton,Australia,AUS,24.53,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 50 m freestyle,2,silver,athlete,Therese Alshammar,Sweden,SWE,24.62,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 50 m freestyle,3,bronze,athlete,Marleen Veldhuis,Netherlands,NLD,24.70,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,swimming,Women's 800 m freestyle,2,silver,athlete,Laure Manaudou,France,FRA,8:18.80 NR,https://en.wikipedia.org/wiki/Swimming_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,men,water polo,Men,1,gold,team,,Croatia,HRV,,https://en.wikipedia.org/wiki/Water_polo_at_the_2007_World_Aquatics_Championships
2007,2007-01-01,women,water polo,Women,1,gold,team,,United States,USA,,https://en.wikipedia.org/wiki/Water_polo_at_the_2007_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Duet Free Routine,1,gold,team,,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Duet Free Routine,2,silver,team,,Spain,ESP,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Duet Free Routine,3,bronze,team,,China,CHN,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Duet Technical Routine,1,gold,team,,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Duet Technical Routine,2,silver,team,,Spain,ESP,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Duet Technical Routine,3,bronze,team,,China,CHN,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Free Routine Combination,1,gold,team,,Spain,ESP,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Free Routine Combination,2,silver,team,,China,CHN,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Free Routine Combination,3,bronze,team,,Canada,CAN,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Solo Free Routine,1,gold,athlete,Natalia Ishchenko,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Solo Free Routine,2,silver,athlete,Gemma Mengual,Spain,ESP,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Solo Free Routine,3,bronze,athlete,Beatrice Adelizzi,Italy,ITA,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Solo Technical Routine,1,gold,athlete,Natalia Ishchenko,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Solo Technical Routine,2,silver,athlete,Gemma Mengual,Spain,ESP,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Solo Technical Routine,3,bronze,athlete,Marie-Pier Boudreau Gagnon,Canada,CAN,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Team Free Routine,2,silver,team,,Spain,ESP,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Team Free Routine,3,bronze,team,,China,CHN,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Team Technical Routine,2,silver,team,,Spain,ESP,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,artistic swimming,Women's Team Technical Routine,3,bronze,team,,China,CHN,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's 1 metre springboard,1,gold,athlete,Qin Kai,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's 1 metre springboard,2,silver,athlete,Zhang Xinhua,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's 1 metre springboard,3,bronze,athlete,Matthew Mitcham,Australia,AUS,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's 10 metre platform,1,gold,athlete,Tom Daley,United Kingdom,GBR,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's 10 metre platform,2,silver,athlete,Qiu Bo,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's 10 metre platform,3,bronze,athlete,Zhou Lüxin,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's 3 metre springboard,1,gold,athlete,He Chong,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's 3 metre springboard,2,silver,athlete,Troy Dumais,United States,USA,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's 3 metre springboard,3,bronze,athlete,Alexandre Despatie,Canada,CAN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's Synchronized 10 metre platform,1,gold,team,,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's Synchronized 10 metre platform,2,silver,team,,United States,USA,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's Synchronized 10 metre platform,3,bronze,team,,Cuba,CUB,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's Synchronized 3 metre springboard,1,gold,team,,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's Synchronized 3 metre springboard,2,silver,team,,United States,USA,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,diving,Men's Synchronized 3 metre springboard,3,bronze,team,,Canada,CAN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's 1 metre springboard,1,gold,athlete,Yuliya Pakhalina,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's 1 metre springboard,2,silver,athlete,Wu Minxia,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's 1 metre springboard,3,bronze,athlete,Wang Han,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's 10 metre platform,1,gold,athlete,Paola Espinosa,Mexico,MEX,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's 10 metre platform,2,silver,athlete,Chen Ruolin,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's 10 metre platform,3,bronze,athlete,Kang Li,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's 3 metre springboard,1,gold,athlete,Guo Jingjing,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's 3 metre springboard,2,silver,athlete,Émilie Heymans,Canada,CAN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's 3 metre springboard,3,bronze,athlete,Tania Cagnotto,Italy,ITA,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's Synchronized 10 metre platform,1,gold,team,,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's Synchronized 10 metre platform,2,silver,team,,United States,USA,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's Synchronized 10 metre platform,3,bronze,team,,MAS,MAS,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's Synchronized 3 metre springboard,1,gold,team,,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's Synchronized 3 metre springboard,2,silver,team,,Italy,ITA,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,diving,Women's Synchronized 3 metre springboard,3,bronze,team,,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Diving_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,open water swimming,Men's 10 km,1,gold,athlete,Thomas Lurz,GER,GER,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,open water swimming,Men's 10 km,2,silver,athlete,Andrew Gemmell,United States,USA,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,open water swimming,Men's 10 km,3,bronze,athlete,Fran Crippen,United States,USA,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,open water swimming,Men's 25 km,1,gold,athlete,Valerio Cleri,Italy,ITA,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,open water swimming,Men's 25 km,2,silver,athlete,Trent Grimsey,Australia,AUS,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,open water swimming,Men's 25 km,3,bronze,athlete,Vladimir Dyatchin,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,open water swimming,Men's 5 km,1,gold,athlete,Thomas Lurz,GER,GER,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,open water swimming,Men's 5 km,2,silver,athlete,Spyridon Gianniotis,GRE,GRE,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,open water swimming,Men's 5 km,3,bronze,athlete,Chad Ho,RSA,RSA,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,open water swimming,Women's 10 km,1,gold,athlete,Keri-Anne Payne,United Kingdom,GBR,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,open water swimming,Women's 10 km,2,silver,athlete,Ekatarina Seliverstova,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,open water swimming,Women's 10 km,3,bronze,athlete,Martina Grimaldi,Italy,ITA,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,open water swimming,Women's 25 km,1,gold,athlete,Angela Maurer,GER,GER,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,open water swimming,Women's 25 km,2,silver,athlete,Anna Uvarova,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,open water swimming,Women's 25 km,3,bronze,athlete,Federica Vitale,Italy,ITA,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,open water swimming,Women's 5 km,1,gold,athlete,Melissa Gorman,Australia,AUS,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,open water swimming,Women's 5 km,2,silver,athlete,Larisa Ilchenko,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,women,open water swimming,Women's 5 km,3,bronze,athlete,Poliana Okimoto,Brazil,BRA,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 100 m backstrokedetails,1,gold,athlete,Junya Koga,Japan,JPN,"52.26 CR, AS",https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 100 m backstrokedetails,2,silver,athlete,Helge Meeuw,Germany,DEU,52.54,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 100 m backstrokedetails,3,bronze,athlete,Aschwin Wildeboer,Spain,ESP,52.64,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 100 m breaststroke,1,gold,athlete,Brenton Rickard,Australia,AUS,58.58 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 100 m breaststroke,2,silver,athlete,Hugues Duboscq,France,FRA,58.64 ER,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 100 m breaststroke,3,bronze,athlete,Cameron van der Burgh,South Africa,ZAF,58.95 AF,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 100 m butterfly,1,gold,athlete,Michael Phelps,United States,USA,49.82 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 100 m butterfly,2,silver,athlete,Milorad Čavić,Serbia,SRB,49.95 ER,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 100 m butterfly,3,bronze,athlete,Rafael Muñoz,Spain,ESP,50.41 NR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 100 m freestyle,1,gold,athlete,César Cielo Filho,Brazil,BRA,46.91 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 100 m freestyle,2,silver,athlete,Alain Bernard,France,FRA,47.12 ER,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 100 m freestyle,3,bronze,athlete,Frédérick Bousquet,France,FRA,47.25,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 1500 m freestyle,1,gold,athlete,Oussama Mellouli,Tunisia,TUN,14:37.28 AF,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 1500 m freestyle,2,silver,athlete,Ryan Cochrane,Canada,CAN,14:41.38,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 1500 m freestyle,3,bronze,athlete,Sun Yang,China,CHN,14:46.84,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m backstroke,1,gold,athlete,Aaron Peirsol,United States,USA,1:51.92 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m backstroke,2,silver,athlete,Ryosuke Irie,Japan,JPN,1:52.51 AS,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m backstroke,3,bronze,athlete,Ryan Lochte,United States,USA,1:53.82,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m breaststrokedetails,1,gold,athlete,Dániel Gyurta,Hungary,HUN,2:07.64 ER,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m breaststrokedetails,2,silver,athlete,Eric Shanteau,United States,USA,2:07.65,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m breaststrokedetails,3,bronze,athlete,Christian Sprenger,Australia,AUS,2:07.80 NR2:07.80,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m breaststrokedetails,3,bronze,athlete,Giedrius Titenis,Lithuania,LTU,2:07.80 NR2:07.80,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m butterfly,1,gold,athlete,Michael Phelps,United States,USA,1:51.51 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m butterfly,2,silver,athlete,Paweł Korzeniowski,Poland,POL,1:53.23 NR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m butterfly,3,bronze,athlete,Takeshi Matsuda,Japan,JPN,1:53.32,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m freestyle,1,gold,athlete,Paul Biedermann,Germany,DEU,1:42.00 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m freestyle,2,silver,athlete,Michael Phelps,United States,USA,1:43.22,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m individual medley,1,gold,athlete,Ryan Lochte,United States,USA,1:54.10 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m individual medley,2,silver,athlete,László Cseh,Hungary,HUN,1:55.24,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 200 m individual medley,3,bronze,athlete,Eric Shanteau,United States,USA,1:55.36,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 4 × 100 m freestyle relay,1,gold,team,,United States,USA,3:09.21 CR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 4 × 100 m freestyle relay,3,bronze,team,,France,FRA,3:09.89,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 4 × 100 m medley relay,1,gold,team,,United States,USA,3:27.28 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 4 × 100 m medley relay,2,silver,team,,Germany,DEU,3:28.58 ER,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 4 × 100 m medley relay,3,bronze,team,,Australia,AUS,3:28.64 OC,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 4 × 200 m freestyle relay,1,gold,team,,United States,USA,6:58.55 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 4 × 200 m freestyle relay,3,bronze,team,,Australia,AUS,7:01.65 OC,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 400 m freestyle,1,gold,athlete,Paul Biedermann,Germany,DEU,3:40.07 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 400 m freestyle,2,silver,athlete,Oussama Mellouli,Tunisia,TUN,3:41.11 AF,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 400 m freestyle,3,bronze,athlete,Zhang Lin,China,CHN,3:41.35 AS,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 400 m individual medley,1,gold,athlete,Ryan Lochte,United States,USA,4:07.01,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 400 m individual medley,2,silver,athlete,Tyler Clary,United States,USA,4:07.31,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 400 m individual medley,3,bronze,athlete,László Cseh,Hungary,HUN,4:07.37,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 50 m backstroke,1,gold,athlete,Liam Tancock,Great Britain,GBR,24.04 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 50 m backstroke,2,silver,athlete,Junya Koga,Japan,JPN,24.24 AS,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 50 m backstroke,3,bronze,athlete,Gerhard Zandberg,South Africa,ZAF,24.34 AF,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 50 m breaststroke,1,gold,athlete,Cameron van der Burgh,South Africa,ZAF,26.67 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 50 m breaststroke,2,silver,athlete,Felipe França Silva,Brazil,BRA,26.76 AM,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 50 m breaststroke,3,bronze,athlete,Mark Gangloff,United States,USA,26.86 NR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 50 m butterfly,1,gold,athlete,Milorad Čavić,Serbia,SRB,"22.67 CR, NR",https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 50 m butterfly,2,silver,athlete,Matt Targett,Australia,AUS,22.73 OC,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 50 m butterfly,3,bronze,athlete,Rafael Muñoz,Spain,ESP,22.88,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 50 m freestyle,1,gold,athlete,César Cielo Filho,Brazil,BRA,"21.08 CR, AM",https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 50 m freestyle,2,silver,athlete,Frédérick Bousquet,France,FRA,21.21,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 50 m freestyle,3,bronze,athlete,Amaury Leveaux,France,FRA,21.25,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 800 m freestyle,1,gold,athlete,Zhang Lin,China,CHN,7:32.12 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
2009,2009-01-01,men,swimming,Men's 800 m freestyle,2,silver,athlete,Oussama Mellouli,Tunisia,TUN,7:35.27 AF,https://en.wikipedia.org/wiki/Swimming_at_the_2009_World_Aquatics_Championships
