competition_id,competition_name,year,event_date,discipline_key,discipline_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
uci_track_world_championships,UCI Track Cycling World Championships,2001,2001-12-31,track-time-trial-1km,Track 1 km Time Trial,men,2,silver,athlete,Sören Lausberg,Germany,DEU,https://en.wikipedia.org/wiki/2001_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2001,2001-12-31,track-time-trial-1km,Track 1 km Time Trial,men,3,bronze,athlete,Grzegorz Krejner,Poland,POL,https://en.wikipedia.org/wiki/2001_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2001,2001-12-31,track-individual-pursuit,Track Individual Pursuit,women,1,gold,athlete,Leontien Zijlaard-Van Moorsel,Netherlands,NLD,https://en.wikipedia.org/wiki/2001_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2001,2001-12-31,track-individual-pursuit,Track Individual Pursuit,women,2,silver,athlete,Olga Sliusareva,Russian Federation,RUS,https://en.wikipedia.org/wiki/2001_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2001,2001-12-31,track-individual-pursuit,Track Individual Pursuit,women,3,bronze,athlete,Elena Tchalikh,Russian Federation,RUS,https://en.wikipedia.org/wiki/2001_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2001,2001-12-31,track-points-race,Track Points Race,women,1,gold,athlete,Olga Sliusareva,Russian Federation,RUS,https://en.wikipedia.org/wiki/2001_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2001,2001-12-31,track-points-race,Track Points Race,women,2,silver,athlete,Katherine Bates,Australia,AUS,https://en.wikipedia.org/wiki/2001_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2001,2001-12-31,track-points-race,Track Points Race,women,3,bronze,athlete,Belem Guerrero,Mexico,MEX,https://en.wikipedia.org/wiki/2001_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2001,2001-12-31,track-sprint,Track Sprint,women,1,gold,athlete,Svetlana Grankovskaya,Russian Federation,RUS,https://en.wikipedia.org/wiki/2001_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2001,2001-12-31,track-sprint,Track Sprint,women,2,silver,athlete,Tammy Thomas,United States,USA,https://en.wikipedia.org/wiki/2001_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2001,2001-12-31,track-sprint,Track Sprint,women,3,bronze,athlete,Lori-Ann Muenzer,Canada,CAN,https://en.wikipedia.org/wiki/2001_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2001,2001-12-31,track-time-trial-500m,Track 500 m Time Trial,women,1,gold,athlete,Nancy Contreras,Mexico,MEX,https://en.wikipedia.org/wiki/2001_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2001,2001-12-31,track-time-trial-500m,Track 500 m Time Trial,women,2,silver,athlete,Lori-Ann Muenzer,Canada,CAN,https://en.wikipedia.org/wiki/2001_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2001,2001-12-31,track-time-trial-500m,Track 500 m Time Trial,women,3,bronze,athlete,Katrin Meinke,Germany,DEU,https://en.wikipedia.org/wiki/2001_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-individual-pursuit,Track Individual Pursuit,men,1,gold,athlete,Bradley McGee,Australia,AUS,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-individual-pursuit,Track Individual Pursuit,men,2,silver,athlete,Luke Roberts,Australia,AUS,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-individual-pursuit,Track Individual Pursuit,men,3,bronze,athlete,Jens Lehmann,Germany,DEU,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-keirin,Track Keirin,men,1,gold,athlete,Jobie Dajka,Australia,AUS,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-keirin,Track Keirin,men,2,silver,athlete,José Antonio Villanueva,Spain,ESP,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-keirin,Track Keirin,men,3,bronze,athlete,René Wolff,Germany,DEU,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-madison,Track Madison,men,1,gold,team,France,France,FRA,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-madison,Track Madison,men,2,silver,team,Austria,Austria,AUT,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-madison,Track Madison,men,3,bronze,team,Argentina,Argentina,ARG,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-points-race,Track Points Race,men,1,gold,athlete,Chris Newton,United Kingdom,GBR,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-points-race,Track Points Race,men,2,silver,athlete,Franz Stocher,Austria,AUT,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-points-race,Track Points Race,men,3,bronze,athlete,Juan Curuchet,Argentina,ARG,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-scratch,Track Scratch,men,1,gold,athlete,Franco Marvulli,Switzerland,CHE,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
