competition_id,competition_name,year,event_date,discipline_id,discipline_name,event_key,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,score_raw,source_url
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2002,2002-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_women_k1,K1,women,2,silver,athlete,Mandy Planert,Germany,DEU,218.11,https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2002,2002-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_women_k1,K1,women,3,bronze,athlete,Cristina Giai Pron,Italy,ITA,222.46,https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2002,2002-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_women_k1-team,K1 team,women,1,gold,team,Aline Tornare / Mathilde Pichery / Anne-Lise Bardet,France,FRA,294.73,https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2002,2002-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_women_k1-team,K1 team,women,2,silver,team,Marie Řihošková / Marcela Sadilová / Irena Pavelková,Czechia,CZE,298.78,https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2002,2002-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_women_k1-team,K1 team,women,3,bronze,team,Helen Reeves / Laura Blakeman / Heather Corrie,United Kingdom,GBR,306.24,https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c1,C1,men,1,gold,athlete,Michal Martikán,Slovakia,SVK,208.14,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c1,C1,men,2,silver,athlete,Tony Estanguet,France,FRA,209.52,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c1,C1,men,3,bronze,athlete,Stefan Pfannmöller,Germany,DEU,212.69,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c1-team,C1 team,men,1,gold,team,Alexander Slafkovský / Juraj Minčík / Michal Martikán,Slovakia,SVK,212.24,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c1-team,C1 team,men,2,silver,team,Tony Estanguet / Emmanuel Brugvin / Patrice Estanguet,France,FRA,213.92,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c1-team,C1 team,men,3,bronze,team,Tomáš Indruch / Jan Mašek / Stanislav Ježek,Czechia,CZE,214.41,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c2,C2,men,1,gold,team,Marcus Becker / Stefan Henze,Germany,DEU,214.52,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c2,C2,men,2,silver,team,Jaroslav Volf / Ondřej Štěpánek,Czechia,CZE,221.66,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c2,C2,men,3,bronze,team,Pavol Hochschorner / Peter Hochschorner,Slovakia,SVK,225.17,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c2-team,C2 team,men,1,gold,team,Jaroslav Volf / Ondřej Štěpánek / Jaroslav Pospíšil / Jaroslav Pollert / Marek Jiras / Tomáš Máder,Czechia,CZE,234.99,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c2-team,C2 team,men,2,silver,team,Marcus Becker / Stefan Henze / André Ehrenberg / Michael Senft / Kay Simon / Robby Simon,Germany,DEU,237.74,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c2-team,C2 team,men,3,bronze,team,Andrzej Wójs / Sławomir Mordarski / Jarosław Miczek / Wojciech Sekuła / Marcin Pochwała / Paweł Sarna,Poland,POL,256.24,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_k1,K1,men,1,gold,athlete,Fabien Lefèvre,France,FRA,197.88,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_k1,K1,men,2,silver,athlete,David Ford,Canada,CAN,199.69,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_k1,K1,men,3,bronze,athlete,Helmut Oblinger,Austria,AUT,199.70,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_k1-team,K1 team,men,1,gold,team,Thomas Mosimann / Mathias Röthenmund / Michael Kurt,Switzerland,CHE,211.71,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_k1-team,K1 team,men,2,silver,team,David Backhouse / Floris Braat / Sam Oud,Netherlands,NLD,213.80,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_k1-team,K1 team,men,3,bronze,team,Thilo Schmitt / Thomas Schmidt / Claus Suchanek,Germany,DEU,216.17,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_women_k1,K1,women,1,gold,athlete,Štěpánka Hilgertová,Czechia,CZE,224.02,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_women_k1,K1,women,2,silver,athlete,Jennifer Bongardt,Germany,DEU,226.81,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
