competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_key,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
world_figure_skating_championships,World Figure Skating Championships,2002,2002-12-31,figure-skating,Figure skating,women-singles,Women's singles,women,2,silver,athlete,Michelle Kwan,United States,USA,https://en.wikipedia.org/wiki/2002_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2002,2002-12-31,figure-skating,Figure skating,women-singles,Women's singles,women,3,bronze,athlete,Fumie Suguri,Japan,JPN,https://en.wikipedia.org/wiki/2002_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2003,2003-12-31,figure-skating,Figure skating,men-singles,Men's singles,men,1,gold,athlete,Evgeni Plushenko,Russia,RUS,https://en.wikipedia.org/wiki/2003_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2003,2003-12-31,figure-skating,Figure skating,men-singles,Men's singles,men,2,silver,athlete,Timothy Goebel,United States,USA,https://en.wikipedia.org/wiki/2003_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2003,2003-12-31,figure-skating,Figure skating,men-singles,Men's singles,men,3,bronze,athlete,Takeshi Honda,Japan,JPN,https://en.wikipedia.org/wiki/2003_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2003,2003-12-31,figure-skating,Figure skating,ice-dance,Ice dance,mixed,1,gold,team,Shae-Lynn Bourne / Victor Kraatz,Canada,CAN,https://en.wikipedia.org/wiki/2003_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2003,2003-12-31,figure-skating,Figure skating,ice-dance,Ice dance,mixed,2,silver,team,Irina Lobacheva / Ilia Averbukh,Russia,RUS,https://en.wikipedia.org/wiki/2003_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2003,2003-12-31,figure-skating,Figure skating,ice-dance,Ice dance,mixed,3,bronze,team,Albena Denkova / Maxim Staviski,Bulgaria,BGR,https://en.wikipedia.org/wiki/2003_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2003,2003-12-31,figure-skating,Figure skating,pairs,Pairs,mixed,1,gold,team,Shen Xue / Zhao Hongbo,China,CHN,https://en.wikipedia.org/wiki/2003_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2003,2003-12-31,figure-skating,Figure skating,pairs,Pairs,mixed,2,silver,team,Tatiana Totmianina / Maxim Marinin,Russia,RUS,https://en.wikipedia.org/wiki/2003_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2003,2003-12-31,figure-skating,Figure skating,pairs,Pairs,mixed,3,bronze,team,Maria Petrova / Alexei Tikhonov,Russia,RUS,https://en.wikipedia.org/wiki/2003_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2003,2003-12-31,figure-skating,Figure skating,women-singles,Women's singles,women,1,gold,athlete,Michelle Kwan,United States,USA,https://en.wikipedia.org/wiki/2003_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2003,2003-12-31,figure-skating,Figure skating,women-singles,Women's singles,women,2,silver,athlete,Elena Sokolova,Russia,RUS,https://en.wikipedia.org/wiki/2003_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2003,2003-12-31,figure-skating,Figure skating,women-singles,Women's singles,women,3,bronze,athlete,Fumie Suguri,Japan,JPN,https://en.wikipedia.org/wiki/2003_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2004,2004-12-31,figure-skating,Figure skating,men-singles,Men's singles,men,1,gold,athlete,Evgeni Plushenko,Russia,RUS,https://en.wikipedia.org/wiki/2004_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2004,2004-12-31,figure-skating,Figure skating,men-singles,Men's singles,men,2,silver,athlete,Brian Joubert,France,FRA,https://en.wikipedia.org/wiki/2004_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2004,2004-12-31,figure-skating,Figure skating,men-singles,Men's singles,men,3,bronze,athlete,Stefan Lindemann,Germany,DEU,https://en.wikipedia.org/wiki/2004_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2004,2004-12-31,figure-skating,Figure skating,ice-dance,Ice dance,mixed,1,gold,team,Tatiana Navka / Roman Kostomarov,Russia,RUS,https://en.wikipedia.org/wiki/2004_World_Figure_Skating_Championships
world_figure_skating_championships,World Figure Skating Championships,2004,2004-12-31,figure-skating,Figure skating,ice-dance,Ice dance,mixed,2,silver,team,Albena Denkova / Maxim Staviski,Bulgaria,BGR,https://en.wikipedia.org/wiki/2004_World_Figure_Skating_Championships
